oK/fBw,,VHdpdHk=,,,,,U2liaWxh,,U2lsYmlkYQ==
JbDfBw,,W1R3aXR5XQpFdmVuIHRoZSBoaWdoZXN0LWdyYWRlIGNvbWJhdCBhdXRvbWF0cm9uIGlzIG5vdCBtYWRlIGluIHRoZSB1bmRlcmdyb3VuZCBoYXphcmRvdXMgbWF0ZXJpYWxzIHpvbmUuIEl0IG1heSBiZSBhIG5leHQtZ2VuZXJhdGlvbiB3ZWFwb24uCklmIHRoZSBwcm90b3R5cGUgY2FuIGV2ZW4gZGlzdGluZ3Vpc2ggYmV0d2VlbiBlbmVteSBhbmQgYWxseSwgeW91IGFyZSBmb3J0dW5hdGUu,,,,,W1NpYmlsYV0KTmVtIG1lc21vIGF1dMO0bWF0YXMgZGUgY29tYmF0ZSBkbyBuw612ZWwgbWFpcyBhbHRvIHPDo28gY3JpYWRhcyBubyBzdWJzb2xvLgpTZSBhIGNhYmXDp2Egc291YmVyIGRpc3Rpbmd1aXIgaW5pbWlnbyBkZSBhbGlhZG8sIGrDoSB0ZXJlbW9zIHNvcnRlLg==,,W1NpbGJpZGFdCk5pIHNpcXVpZXJhIGxhcyBtYXJpb25ldGFzIGF1dG9tw6F0aWNhcyBkZSBjb21iYXRlIGRlIG1heW9yIHJhbmdvIHNlIGZhYnJpY2FuIGVuIGxhIHpvbmEgZGUgbWF0ZXJpYWxlcyBwZWxpZ3Jvc29zIGRlbCBzdWJzdWVsby4gUXVpesOhIHNlYSB1biBhcm1hIGRlIG51ZXZhIGdlbmVyYWNpw7NuLgpTaSBlbCBwcm90b3RpcG8gc2lxdWllcmEgc2FiZSBkaXN0aW5ndWlyIGVudHJlIGVuZW1pZ28geSBhbGlhZG8sIHNlcsOhIHF1ZSB0ZW5lbW9zIHN1ZXJ0ZS4=
JrDfBw,,W1R3aXR5XQpUaGUgZGlzYXN0ZXIgdGhlIGF1dG9tYXRyb24gbWF5IGJyaW5nIGlzIG5vIGxvbmdlciBldmVuIGEgY29uY2Vybi4=,,,,,W1NpYmlsYV0KQSBjYXTDoXN0cm9mZSBjYXVzYWRhIHBlbGFzIGF1dMO0bWF0YXMgZGVpeG91IGRlIHNlciBub3NzYSBtYWlvciBwcmVvY3VwYcOnw6NvLg==,,W1NpbGJpZGFdCkVsIGRlc2FzdHJlIHF1ZSBwb2Ryw61hIHRyYWVyIGxhIG1hcmlvbmV0YSBhdXRvbcOhdGljYSB5YSBuaSBzaXF1aWVyYSBlcyB1bmEgcHJlb2N1cGFjacOzbi4=
J7DfBw,,W1R3aXR5XQpOb3csIGhvdyBzaG91bGQgd2UgcmVzb2x2ZSB0aGlzIG1hdHRlcj8gV2l0aCB0aGUgYXJtcyBhbmQgbGVncyB0aGF0IHswfSBhdHRhY2hlZCBpbiBnb29kd2lsbCB3aXRob3V0IGRlZXAgdGhvdWdodCwgaXQgd2lsbCBjb21lIHVwIHRvIHRoZSBzdXJmYWNlIGFuZCB1c2UgdGhvc2UgaGFuZHMgYW5kIGZlZXQgdG8gZmluaXNoIHVzIG9mZi4=,,,,,W1NpYmlsYV0KQWdvcmEsIGNvbW8gcmVzb2x2ZXIgaXNzbz8gQ29tIGEgYWp1ZGEgYnVycmEgZGUgezB9LCBhcXVpbG8gcG9kZSBzYWlyIGRvIHN1YnNvbG8gZSBjYXVzYXIgdW0gYXBvY2FsaXBzZS4=,,W1NpbGJpZGFdCkFob3JhLCDCv2PDs21vIHNlcsOtYSBidWVubyByZXNvbHZlciBlc3RvPyBDb24gbG9zIGJyYXpvcyB5IHBpZXJuYXMgcXVlIHswfSBsZSBwdXNvIGRlIGJ1ZW5hIGZlIHkgc2luIHBlbnNhcmxvIGEgZm9uZG8sIHN1Ymlyw6EgYSBsYSBzdXBlcmZpY2llIHkgY29uIGVzYXMgbWFub3MgeSBwaWVzIG5vcyByZW1hdGFyw6Eu
KLDfBw,,VGhhdCBpcyB0b28gbXVjaCBvZiBhIGxlYXAuLi4=,,,,,SXNzbyDDqSB1bSBleGFnZXJvLi4u,,RXNvIGVzIGRlbWFzaWFkbyBleGFnZXJhZG8uLi4=
KbDfBw,,W1R3aXR5XQpXaGF0IHdpbGwgeW91IGRvPyB7MH0sIGEgY29tYmF0LXR5cGUgaHVtYW4sIHdpbGwgeW91IGdvIGRvd24gYWdhaW4gdG8gZW5qb3kgeW91cnNlbGY/IEJ1dCBpZiB5b3Ugd2VyZSBnb2luZyB0byBkZWFsIHdpdGggaXQgeW91cnNlbGYsIHlvdSB3b3VsZCBub3QgaGF2ZSBncmFudGVkIHRoZSByZXF1ZXN0IGluIHRoZSBmaXJzdCBwbGFjZS4=,,,,,W1NpYmlsYV0KTyBxdWUgZmFyw6E/IFZhaSBkZXNjZXIgbMOhIGUgZW5mcmVudMOhLWxvIHswfT8gTWFzIHNlIHByZXRlbmRlc3NlIGVsaW1pbsOhLWxvLCBuw6NvIHRlcmlhIGFqdWRhZG8u,,W1NpbGJpZGFdCsK/UXXDqSBoYXLDoT8gezB9LCBodW1hbm8gZGUgY29tYmF0ZSwgwr9iYWphcsOhIGRlIG51ZXZvIHBhcmEgZGlzZnJ1dGFyIGRlbCBqdWVnbz8gUGVybyBzaSBmdWVyYSBhIGVuY2FyZ2Fyc2UgZGUgZWxsbyB1c3RlZCBtaXNtbywgZGVzZGUgZWwgcHJpbmNpcGlvIG5vIGhhYnLDrWEgYWNlcHRhZG8gbGEgcGV0aWNpw7NuLg==
KrDfBw,,Li4uLi4u,,,,,Li4uLi4u,,Li4uLi4u
K7DfBw,,W1R3aXR5XQpUaGVuIHRoZXJlIGlzIG9ubHkgb25lIHdheS4gRm9ydHVuYXRlbHksIHlvdSBzYWlkIGl0IGRvZXMgbm90IGNvbWUgb3V0c2lkZS4=,,,,,W1NpYmlsYV0KRW50w6NvIHJlc3RhIGFwZW5hcyB1bWEgb3DDp8Ojby4gRmVsaXptZW50ZSwgYSBjYWJlw6dhIGRpc3NlIHF1ZSBuw6NvIHNhaXLDoSBkbyBzdWJzb2xvLg==,,W1NpbGJpZGFdCkVudG9uY2VzIHNvbG8gaGF5IHVuYSBtYW5lcmEuIFBvciBzdWVydGUsIHVzdGVkIGRpam8gcXVlIGVzbyBubyBzYWxkcsOhIGFsIGV4dGVyaW9yLg==
LLDfBw,,W1R3aXR5XQpeMDAwMENEV2Ugd2lsbCBxdWlldGx5IHB1dCB0aGlzIG1hdHRlciB0byByZXN0XjAwMDAwMC4gSW4gdGhpcyBtYW5zaW9u4oCUbm8sIGluIHRoaXMgd29ybGTigJRvbmx5IHlvdSwgezB9ICwgYW5kIEkga25vdyB0aGUgdHJ1dGgu,,,,,W1NpYmlsYV0KVmFtb3MgXjAwMDBDRGFiYWZhciBlc3RlIGNhc29eMDAwMDAwLiBTZXLDoSB1bSBmYXRvIGNvbmhlY2lkbyBhcGVuYXMgcG9yIHswfSBlIHBvciBtaW0gbmVzdGEgbWFuc8Ojby4gTsOjbyEgTmVzdGUgbXVuZG8u,,W1NpbGJpZGFdCl4wMDAwQ0RFc3RlIGFzdW50byBxdWVkYXLDoSBzaWxlbmNpYWRvIHRhbCBjb21vIGVzdMOhXjAwMDAwMC4gRW4gZXN0YSBtYW5zacOzbiwgbm8sIGVuIGVzdGUgbXVuZG8sIGVzIHVuIGhlY2hvIHF1ZSBzb2xvIHswfSB5IHlvIGNvbm9jZW1vcy4=
LbDfBw,,W1R3aXR5XQpXZSBtdXN0IGRpdmlkZSBvdXIgcm9sZXMuIEkgd2lsbCByZW1haW4gaGVyZSBhbmQgcHJldmVudCBhbnlvbmUgZnJvbSBjb21pbmcgYW5kIGdvaW5nIHVuZGVyZ3JvdW5kLiBJIHdpbGwgYWxzbyBrZWVwIHdhdGNoIHRvIHNlZSB3aGV0aGVyIHRoYXQgdGhpbmcgY29tZXMgdXAgdG8gdGhlIHN1cmZhY2Uu,,,,,W1NpYmlsYV0KRGl2aWRpcmVtb3MgYXMgZnVuw6fDtWVzLiBQZXJtYW5lY2VyZWkgYXF1aSwgaW1wZWRpbmRvIHF1ZSBhbGd1w6ltIGRlc8OnYSBhbyBzdWJzb2xvIGUgbW9uaXRvcmFuZG8gc2UgYXF1aWxvIHRlbnRhIHN1YmlyLg==,,W1NpbGJpZGFdCkRlYmVtb3MgcmVwYXJ0aXJub3MgbGFzIHRhcmVhcy4gWW8gc2VndWlyw6kgYXF1w60gZW4gZXNwZXJhIGUgaW1wZWRpcsOpIHF1ZSBhbGd1aWVuIGVudHJlIG8gc2FsZ2EgZGVsIHPDs3Rhbm8uIFRhbWJpw6luIHZpZ2lsYXLDqSBzaSBlc28gc3ViZSBhIGxhIHN1cGVyZmljaWUu
LrDfBw,,W1R3aXR5XQpJbiByZXR1cm4sIHlvdSwgezB9ICwgd2lsbCBjb21lIGhlcmUgZXZlcnkgZGF5IGFuZCBeMDAwMENEY2xlYW4gdGhlIHVwcGVyIGZsb29yIGFuZCB0aGUgYmFzZW1lbnReMDAwMDAwIHNvIHRoZXJlIGlzIG5vIGZ1cnRoZXIgZGFuZ2VyLg==,,,,,W1NpYmlsYV0KRW0gdHJvY2EsIHswfSB2aXLDoSB0b2RvcyBvcyBkaWFzIHBhcmEgXjAwMDBDRGxpbXBhciBvIGFybWF6w6ltIGUgbyBzdWJzb2xvXjAwMDAwMCBkb3MgcGVyaWdvcy4=,,W1NpbGJpZGFdCkVuIGNhbWJpbywgezB9IGRlYmUgdmVuaXIgYXF1w60gY2FkYSBkw61hIHkgXjAwMDBDRGxpbXBpYXIgbGEgcGxhbnRhIHN1cGVyaW9yIHkgbGEgcGxhbnRhIHN1YnRlcnLDoW5lYV4wMDAwMDAgcGFyYSBxdWUgbm8gaGF5YSBtw6FzIHBlbGlncm8u
L7DfBw,,VGhlIHVwcGVyIGZsb29yIHRvbz8=,,,,,RXNzZSBhbmRhciB0YW1iw6ltPw==,,wr9MYSBwbGFudGEgc3VwZXJpb3IgdGFtYmnDqW4/
MLDfBw,,W1R3aXR5XQpBIGJyb2tlbiBjbGVhbmluZyByb2JvdCB3YXMgbm90IHRoZSBwcm9ibGVtLiBXaGlsZSBpbnNwZWN0aW5nIHRoZSBzdG9yYWdlLCBJIG5vdGljZWQgaW50cnVkZXJzIHdobyB3ZXJlIHN0aWxsIGxpbmdlcmluZy4gVGhleSBjYWxsZWQgdGhlbSBIZWFydCBIdW50ZXIuIEFzIEkgc2FpZCwgSSBoYXZlIG1hbnkgZHV0aWVzIHRvIGF0dGVuZCB0by4=,,,,,W1NpYmlsYV0KQXMgw5RtZWdhcyBRdWVicmFkYXMgbsOjbyBlcmFtIG8gw7puaWNvIHByb2JsZW1hLiBBbyBpbnNwZWNpb25hciBvIGFybWF6w6ltLCBlbmNvbnRyZWkgaW52YXNvcmVzIGRhIENhw6dhLUNvcmHDp8Ojby4=,,W1NpbGJpZGFdCkVsIHByb2JsZW1hIG5vIGVyYSBhbGdvIGNvbW8gdW4gcm9ib3QgZGUgbGltcGllemEgYXZlcmlhZG8uIE1pZW50cmFzIGluc3BlY2Npb25hYmEgZWwgYWxtYWPDqW4sIHZpIGEgaW50cnVzb3MgcmV6YWdhZG9zLiBEZWPDrWFuIGxsYW1hcnNlIENhemFkb3IgZGUgY29yYXpvbmVzLiBDb21vIGxlIGRpamUsIHRlbmdvIG11Y2hhcyBjb3NhcyBxdWUgaGFjZXIu
MbDfBw,,W1R3aXR5XQpTbywgdG8gcHJvdGVjdCB0aGUgaXRlbXMgaGVyZSwgcGxlYXNlIGRlYWwgd2l0aCB0aGUgSGVhcnQgSHVudGVyIHNjb3V0cyBvbiB0aGUgdXBwZXIgZmxvb3IsIGFuZCB0aGUgYnJva2VuIHdhcmVob3VzZSBtYW5hZ2VyIGluIHRoZSBiYXNlbWVudCBzbyBhcyBub3QgdG8gb2ZmZW5kIHRoZSBuZXdseSBib3JuIHdlYXBvbi4=,,,,,W1NpYmlsYV0KUG9ydGFudG8sIGVsaW1pbmUgb3MgQ2HDp2Fkb3JlcyBkYSBDYcOnYS1Db3Jhw6fDo28gbmVzc2UgYW5kYXIgZSBhcyBBbG1veGFyaWZlcyBubyBzdWJzb2xvLCBwYXJhIG7Do28gaXJyaXRhciBhcXVlbGEgY3JpYXR1cmEgbMOhIGVtYmFpeG8u,,W1NpbGJpZGFdCkFzw60gcXVlLCBwYXJhIHBvZGVyIHByb3RlZ2VyIGxvcyBvYmpldG9zIGRlIGVzdGUgbHVnYXIsIGVsaW1pbmUgYSBsb3MgZXhwbG9yYWRvcmVzIEhlYXJ0IEh1bnRlciBkZSBsYSBwbGFudGEgc3VwZXJpb3IgeSwgZW4gbGEgcGxhbnRhIHN1YnRlcnLDoW5lYSwgZW5jYXJndWVzZSBkZWwgYWRtaW5pc3RyYWRvciBkZSBhbG1hY8OpbiBhdmVyaWFkbyBwYXJhIG5vIGNvbnRyYXJpYXIgYSBsYSBudWV2YSBhcm1hIG5hY2lkYS4=
MrDfBw,,W1R3aXR5XQpUaGVyZSBpcyBub3RoaW5nIGZvciB5b3UgdG8gbG9zZSwgaXMgdGhlcmU/IFlvdSBhcmUgZG9pbmcgaXQgZm9yIGFtdXNlbWVudCwgYWZ0ZXIgYWxsLiBPZiBjb3Vyc2UsIEkgd2lsbCBhbHNvIHBheSB5b3UgYWNjb3JkaW5nbHkuIEkgd2lsbCBhbHNvIHJlZ2lzdGVyIHlvdXIgYmlvbWV0cmljcyBzbyB5b3UgY2FuIGdvIGluIGFuZCBvdXQgb2YgdGhlIGJhc2VtZW50IHdpdGhvdXQgdGhlIEVtZXJnZW5jeSBLZXku,,,,,W1NpYmlsYV0Kw4kgdW0gYm9tIGFjb3JkbywgasOhIHF1ZSBnb3N0YSBkZSBzZSBkaXZlcnRpci4gQ2xhcm8sIGxoZSBkYXJlaSByZWNvbXBlbnNhcy4gUmVnaXN0cmVpIHN1YSBiaW9tZXRyaWEgcGFyYSBlbnRyYXIgZSBzYWlyIGRvIHN1YnNvbG8gc2VtIGEgY2hhdmUgZGUgZW1lcmfDqm5jaWEu,,W1NpbGJpZGFdCk5vIHRpZW5lIG5hZGEgcXVlIHBlcmRlciwgwr92ZXJkYWQ/IFNlIHRyYXRhIGRlIGRpc2ZydXRhciBkZWwgZW50cmV0ZW5pbWllbnRvLiBQb3Igc3VwdWVzdG8sIHRhbWJpw6luIGxlIGRhcsOpIHVuYSByZWNvbXBlbnNhIGFjb3JkZS4gVGFtYmnDqW4gbGUgaGFyw6kgdW4gcmVnaXN0cm8gYmlvbcOpdHJpY28gcGFyYSBxdWUgcHVlZGEgZW50cmFyIHkgc2FsaXIgZGVsIHPDs3Rhbm8gc2luIGxhIExsYXZlIGRlIEVtZXJnZW5jaWEu
M7DfBw,,QWxsIHJpZ2h0Lg==,,,,,RW50ZW5kaWRvLg==,,RGUgYWN1ZXJkby4=
NLDfBw,,W1R3aXR5XQpUaGFuayB5b3UuIEFzIGEgdG9rZW4gb2Ygb3VyIHByb21pc2UsIEkgd2lsbCBnaXZlIHlvdSB0aGlzIFZhcm1lYWwgVGlja2V0LiBUaGVuLCBJIHdpbGwgdGFrZSBpdCB0aGF0IHlvdSB3aWxsIGtlZXAgdGhlIHNlY3JldC4=,,,,,W1NpYmlsYV0KT2JyaWdhZGEuIENvbW8gcHJvdmEgZG8gbm9zc28gcGFjdG8sIGxoZSBkYXJlaSBlc3RlIFZhbGUgVmFybWlkYS4gRW50w6NvLCBtYW50ZXJlbW9zIG8gc2VncmVkby4=,,W1NpbGJpZGFdCkdyYWNpYXMuIENvbW8gcHJ1ZWJhIGRlIG51ZXN0cmEgcHJvbWVzYSwgbGUgZGFyw6kgZXN0ZSB2YWxlIGRlIGNvbWlkYS4gRW50b25jZXMsIGVudGVuZGVyw6kgcXVlIGd1YXJkYXLDoSBlbCBzZWNyZXRvLg==
NbDfBw,,SSB3aWxsIHRha2UgYmFjayB0aGUgRW1lcmdlbmN5IEtleS4=,,,,,RmljYXJlaSBjb20gYXMgY2hhdmVzIGRlIGVtZXJnw6puY2lhLg==,,TWUgbGxldmFyw6kgZGUgdnVlbHRhIGxhIExsYXZlIGRlIEVtZXJnZW5jaWEu
NrDfBw,,W1R3aXR5XQpIYXZlIHlvdSBjb21lIHRvIGtlZXAgb3VyIHByb21pc2U/IEFyZSB5b3UgcmVmZXJyaW5nIHRvIHRoZSB1cHBlciBmbG9vciBvciB0aGUgYmFzZW1lbnQ/,,,,,W1NpYmlsYV0KVmVpbyBjdW1wcmlyIG5vc3NvIGFjb3Jkbz8gUXVlIHNlcnZpw6dvIHF1ZXIgZmF6ZXIgaG9qZT8=,,W1NpbGJpZGFdCsK/SGEgdmVuaWRvIGEgY3VtcGxpciBudWVzdHJhIHByb21lc2E/IMK/U2UgcmVmaWVyZSBhIGxhIHN1cGVyZmljaWUgbyBhbCBzdWJzdWVsbz8=
N7DfBw,,VGhlIHVwcGVyIGZsb29yLg==,,,,,TGltcGV6YSBkbyBBcm1hesOpbQ==,,TGEgcGxhbnRhIHN1cGVyaW9yLg==
OLDfBw,,XkFBQUFBQVVwcGVyIEZsb29yIC0gV2FpdGluZ14wMDAwMDA=,,,,,XkFBQUFBQVtFc3BlcmFdIExpbXBlemEgZG8gQXJtYXrDqW1eMDAwMDAw,,XkFBQUFBQVBsYW50YSBzdXBlcmlvciAtIEVuIGVzcGVyYV4wMDAwMDA=
ObDfBw,,SSB0b29rIGNhcmUgb2YgdGhlIHVwcGVyIGZsb29yLg==,,,,,W0ZlaXRvXSBMaW1wZXphIGRvIEFybWF6w6lt,,TWUgZW5jYXJndcOpIGRlIGxhIHBsYW50YSBzdXBlcmlvci4=
OrDfBw,,XkFBQUFBQVVwcGVyIEZsb29yIC0gSW4gUHJvZ3Jlc3NeMDAwMDAw,,,,,XkFBQUFBQVtFbSBDdXJzb10gTGltcGV6YSBkbyBBcm1hesOpbV4wMDAwMDA=,,XkFBQUFBQVBsYW50YSBzdXBlcmlvciAtIEVuIGN1cnNvXjAwMDAwMA==
O7DfBw,,VGhlIGJhc2VtZW50Lg==,,,,,VmlnaWFyIG8gU3Vic29sbw==,,TGEgcGxhbnRhIHN1YnRlcnLDoW5lYS4=
PLDfBw,,XkFBQUFBQUJhc2VtZW50IC0gV2FpdGluZ14wMDAwMDA=,,,,,XkFBQUFBQVtFc3BlcmFdIFZpZ2lhciBvIFN1YnNvbG9eMDAwMDAw,,XkFBQUFBQVBsYW50YSBzdWJ0ZXJyw6FuZWEgLSBFbiBlc3BlcmFeMDAwMDAw
PbDfBw,,SSB0b29rIGNhcmUgb2YgdGhlIGJhc2VtZW50Lg==,,,,,W0ZlaXRvXSBWaWdpYXIgbyBTdWJzb2xv,,TWUgZW5jYXJndcOpIGRlIGxhIHBsYW50YSBzdWJ0ZXJyw6FuZWEu
PrDfBw,,XkFBQUFBQUJhc2VtZW50IC0gSW4gUHJvZ3Jlc3NeMDAwMDAw,,,,,XkFBQUFBQVtFbSBDdXJzb10gVmlnaWFyIG8gU3Vic29sb14wMDAwMDA=,,XkFBQUFBQVBsYW50YSBzdWJ0ZXJyw6FuZWEgLSBFbiBjdXJzb14wMDAwMDA=
P7DfBw,,SSB3YXMgd29uZGVyaW5nIGlmIGFueXRoaW5nIHdhcyBnb2luZyBvbi4=,,,,,UXVlcmlhIHNhYmVyIHNlIGVzdMOhIHR1ZG8gYmVtLg==,,U29sbyBxdWVyw61hIHNhYmVyIHNpIHRvZG8gZXN0w6EgYmllbi4=
QLDfBw,,W1R3aXR5XQpZb3UgcmVhbGx5IGRvIGxpa2UgZmlnaHRpbmcuIFRoZW4gcGxlYXNlIHRha2UgY2FyZSBvZiAyMCBIZWFydCBIdW50ZXIgb24gdGhlIF4wMDAwQ0RHcm91bmQgRmxvb3JeMDAwMDAwLg==,,,,,W1NpYmlsYV0KVm9jw6ogcmVhbG1lbnRlIGFwcmVjaWEgY29tYmF0ZS4gRWxpbWluZSBeMDAwMENEMjB4IENhw6dhZG9yIGRlIENvcmHDp8Ojb14wMDAwMDAu,,W1NpbGJpZGFdCkRlIHZlcmRhZCBsZSBndXN0YSBlbCBjb21iYXRlLiBFbnRvbmNlcywgbGUgcGlkbyBxdWUgc2UgZW5jYXJndWUgZGUgMjAgQ2F6YWRvciBkZSBjb3Jhem9uZXMgZW4gZWwgXjAwMDBDRHBpc28gc3VwZXJpb3JeMDAwMDAwLg==
QbDfBw,,QWxsIHJpZ2h0Lg==,,,,,RW50ZW5kaWRvLg==,,RGUgYWN1ZXJkby4=
QrDfBw,,SSB3YW50IHRvIHRha2UgYSBicmVhayB0b2RheS4uLg==,,,,,UHJlZmlybyBkZXNjYW5zYXIuLi4=,,SG95IHF1aWVybyBkZXNjYW5zYXIuLi4=
Q7DfBw,,W1R3aXR5XQpJbiB0aGUgbWVhbnRpbWUsIEkgd2lsbCBiZSBkb2luZyBteSB3b3JrIGFzIHdlbGwu,,,,,W1NpYmlsYV0KRW5xdWFudG8gaXNzbywgY3VpZGFyZWkgZGFzIG1pbmhhcyB0YXJlZmFzLg==,,W1NpbGJpZGFdCk1pZW50cmFzIHRhbnRvLCB5byB0YW1iacOpbiBlc3RhcsOpIGhhY2llbmRvIG1pIHRyYWJham8u
RLDfBw,,W1R3aXR5XQpJcyB0aGF0IHNvPyBJIHRob3VnaHQgeW91IHdvdWxkIHdhbnQgdG8gZG8gd2hhdCB5b3UgbGlrZSBldmVyeSBkYXkuIEhvdyB1bmV4cGVjdGVkLg==,,,,,W1NpYmlsYV0Kw4kgbWVzbW8/IEFjaGVpIHF1ZSBnb3N0YXJpYSBkZSBmYXplciBvIHF1ZSBnb3N0YSB0b2RvcyBvcyBkaWFzLiBTdXJwcmVlbmRlbnRlLg==,,W1NpbGJpZGFdCsK/RGUgdmVyYXM/IFBlbnPDqSBxdWUsIHNpIGVyYSBhbGdvIHF1ZSBsZSBndXN0YWJhLCBxdWVycsOtYSBoYWNlcmxvIHRvZG9zIGxvcyBkw61hcy4gUXXDqSBpbmVzcGVyYWRvLg==
RbDfBw,,W1R3aXR5XQpCdXQgaWYgaXQgZ2V0cyBhbnkgbG91ZGVyLCBpdCBtaWdodCBjb21lIHVwLiBQbGVhc2UgY29tZSBiYWNrIGFmdGVyIGRhd24gaGFzIHBhc3NlZC4=,,,,,W1NpYmlsYV0KTWFzIHNlIGZpemVyIG1haXMgYmFydWxobyBxdWUgaXNzbywgYXF1ZWxlIG1vbnN0cm8gcG9kZSBzdWJpci4gVm9sdGUgZGVwb2lzIGRvIGFtYW5oZWNlci4=,,W1NpbGJpZGFdClBlcm8gc2kgaGFjZW1vcyBtw6FzIHJ1aWRvLCBwdWVkZSBxdWUgZXNvIHN1YmEuIFBvciBmYXZvciwgdnVlbHZhIGRlc3B1w6lzIGRlbCBhbWFuZWNlci4=
RrDfBw,,W1R3aXR5XQpIYXZlIHlvdSB0YWtlbiBjYXJlIG9mIHRoZW0gYWxsPw==,,,,,W1NpYmlsYV0KSsOhIGVsaW1pbm91IHRvZG9zPw==,,W1NpbGJpZGFdCsK/U2UgaGEgZW5jYXJnYWRvIGRlIHRvZG9zPw==
R7DfBw,,W1R3aXR5XQpJIGNhbiBjb25maXJtIHRoZWlyIG51bWJlcnMgaGF2ZSBkZWNyZWFzZWQuIE5vdyBJIGNhbiBiZWdpbiBteSB3b3JrLiBUaGFuayB5b3UuIFBsZWFzZSBjb21lIGJhY2sgYWZ0ZXIgZGF3biBoYXMgcGFzc2VkLg==,,,,,W1NpYmlsYV0KQ29uZmlybW8gcXVlIG8gbsO6bWVybyBkaW1pbnVpdS4gQWdvcmEgcG9zc28gY29tZcOnYXIgbWV1IHRyYWJhbGhvLiBPYnJpZ2FkYS4gVm9sdGUgZGVwb2lzIGRvIGFtYW5oZWNlci4=,,W1NpbGJpZGFdClNlIGNvbmZpcm1hIHF1ZSBlbCBuw7ptZXJvIGRlIGluZGl2aWR1b3MgaGEgZGlzbWludWlkby4gQWhvcmEgcG9kcsOpIGVtcGV6YXIgbWkgdHJhYmFqby4gR3JhY2lhcy4gUG9yIGZhdm9yLCB2dWVsdmEgZGVzcHXDqXMgZGVsIGFtYW5lY2VyLg==
SLDfBw,,W1R3aXR5XQpDYW4geW91IG5vdCBzdGlsbCBzZWUgdGhlbSBzdHJ1dHRpbmcgYXJvdW5kIGxpa2UgdGhhdD8gUGxlYXNlIHRha2UgY2FyZSBvZiAyMCBIZWFydCBIdW50ZXIgb24gdGhlIF4wMDAwQ0RHcm91bmQgRmxvb3JeMDAwMDAwLg==,,,,,W1NpYmlsYV0KTsOjbyBjb25zZWd1ZSB2ZXIgZWxlcyBhbmRhbmRvIHBvciBhw60/IFBvciBmYXZvciwgZWxpbWluZSBeMDAwMENEMjB4IENhw6dhZG9yIGRlIENvcmHDp8Ojb14wMDAwMDAu,,W1NpbGJpZGFdCsK/QWNhc28gbm8gdmUgcXVlIHRvZGF2w61hIGFuZGFuIHBvciBhaMOtIGNhbXBhbmRvIGEgc3VzIGFuY2hhcz8gTGUgcGlkbyBxdWUgc2UgZW5jYXJndWUgZGUgMjAgQ2F6YWRvciBkZSBjb3Jhem9uZXMgZW4gZWwgXjAwMDBDRHBpc28gc3VwZXJpb3JeMDAwMDAwLg==
SbDfBw,,W1R3aXR5XQpZb3UgcmVhbGx5IGRvIGxpa2UgZmlnaHRpbmcuIFRoZW4gcGxlYXNlIHRha2UgY2FyZSBvZiAyMCBIZWFydCBIdW50ZXIgb24gdGhlIF4wMDAwQ0RHcm91bmQgRmxvb3JeMDAwMDAwLi4=,,,,,W1NpYmlsYV0KVm9jw6ogcmVhbG1lbnRlIGFwcmVjaWEgY29tYmF0ZS4gRWxpbWluZSBeMDAwMENEMjB4IENhw6dhZG9yIGRlIENvcmHDp8Ojb14wMDAwMDAu,,W1NpbGJpZGFdCkRlIHZlcmRhZCBsZSBndXN0YSBlbCBjb21iYXRlLiBFbnRvbmNlcywgbGUgcGlkbyBxdWUgc2UgZW5jYXJndWUgZGUgMjAgQ2F6YWRvciBkZSBjb3Jhem9uZXMgZW4gZWwgXjAwMDBDRHBpc28gc3VwZXJpb3JeMDAwMDAwLi4=
SrDfBw,,W1R3aXR5XQpQYXJkb24/IFlvdSBtZWFuIHRoZSBiYXNlbWVudD8gQXMgSSBzYWlkLCB0aGUgYmFzZW1lbnQgaXMgYW4gZXh0cmVtZWx5IGRhbmdlcm91cyBwbGFjZSwgc28gaW4geW91ciBjdXJyZW50IGNvbmRpdGlvbi4uLiBpdCBzZWVtcyBkaWZmaWN1bHQuIEhvdyBhYm91dCB1c2luZyB5b3VyIGxpZmUgZm9yIHNvbWV0aGluZyBtb3JlIHdvcnRod2hpbGU/,,,,,W1NpYmlsYV0KQ29tbyBkaXRvIGFudGVzLCBsw6Egw6kgZXh0cmVtYW1lbnRlIHBlcmlnb3NvLiBObyBlc3RhZG8gYXR1YWwsIHBhcmVjZSBpbnZpw6F2ZWwu,,W1NpbGJpZGFdCsK/UXXDqT8gwr9TZSByZWZpZXJlIGFsIHBpc28gc3VidGVycsOhbmVvPyBDb21vIGxlIGRpamUsIGVsIHBpc28gc3VidGVycsOhbmVvIGVzIHVuIGx1Z2FyIGV4dHJlbWFkYW1lbnRlIHBlbGlncm9zbywgYXPDrSBxdWUgZW4gc3UgZXN0YWRvIGFjdHVhbC4uLiBwYXJlY2UgZGlmw61jaWwuIMK/UXXDqSBsZSBwYXJlY2UgdXNhciBzdSB2aWRhIGVuIGFsZ28gbcOhcyB2YWxpb3NvPw==
