oEkaAQ,,VmluY2VudA==,,,,,VmluY2VudA==,,VmluY2VudA==
CUoaAQ,,W3swfV0KKF4zMzMzMzNJIGJldHRlciBhc2sgdGhlIG90aGVyCm1lcmNoYW50cyBhcm91bmQgaGVyZSBpZgp0aGV5J3ZlIHNlZW4gdGhhdCBib3kuIEknbQp3YXN0aW5nIG15IHRpbWUgdGFsa2luZyB0bwp0aGlzIGNyYXp5IG1lcmNoYW50IGFuZCBoaXMKcmlkaWN1bG91cyBtb2NrIHZlZ2V0YWJsZXMu,,,,,W3swfV0KKF4zMzMzMzPDiSBtZWxob3IgZXUgcGVyZ3VudGFyIGFvcyBvdXRyb3MKbWVyY2Fkb3JlcyBkYXF1aQpzZSBlbGVzIHZpcmFtIGVzc2UgZ2Fyb3RvLiBFc3RvdQpwZXJkZW5kbyBtZXUgdGVtcG8gY29udmVyc2FuZG8KZXNzZSBtZXJjYWRvciBtYWx1Y28gZSBzZXVzCnZlZ2V0YWlzIGZhbHNvcyByaWTDrWN1bG9zLg==,,W3swfV0KKF4zMzMzMzNTZXLDoSBtZWpvciBxdWUgbGVzIHByZWd1bnRlIGEKbG9zIGRlbcOhcyBjb21lcmNpYW50ZXMgc2kKdmllcm9uIGFsIGNoaWNvIGRlc2FwYXJlY2lkby4gRXN0b3kKcGVyZGllbmRvIGVsIHRpZW1wbyBjb24KZXN0ZSBjb21lcmNpYW50ZSBsb2NvIHkgc3VzCnJpZMOtY3VsYXMgaG9ydGFsaXphcyBkZSBjYXJuZSku
CkoaAQ,,W0lkbGUgTWVyY2hhbnRdCk1hbiEgQnVzaW5lc3MgaXMgZ29pbmcKc29vbyBzbG9vb3cgcmlnaHQgbm93IQpXZWxsLCBubyBwb2ludCBzdGFuZGluZwphcm91bmQgdGhpcyBkdW1wIG11Y2gKbG9uZ2VyLiBNYXliZSBJIHNob3VsZApwYWNrIGl0IHVwIGFuZCBnbyBob21lLi4u,,,,,W01lcmNhZG9yIG9jaW9zb10KQ2FyYSEgT3MgbmVnw7NjaW9zIGVzdMOjbyBpbmRvCnTDo28gZGV2YWdhciB1bHRpbWFtZW50ZSEKQm9tLCBuw6NvIGFkaWFudGEgZmljYXIgcGFyYWRvCm5lc3RlIGxpeMOjbyBwb3IgCm1haXMgdGVtcG8uIFRhbHZleiBldSBkZXZhCmp1bnRhciB0dWRvIGUgaXIgcGFyYSBjYXNhLi4u,,W0NvbWVyY2lhbnRlIGRlc29jdXBhZG9dCk9oLCBuby4uLiDCoU5vIHNlIGVzdMOhIHZlbmRpZW5kbwpuYWRhYWFhYSEKTm8gdGllbmUgc2VudGlkbyBzZWd1aXIKcGVyZGllbmRvIGVsIHRpZW1wbyBlbgplc3RlIGx1Z2FyLiBUYWwgdmV6IGRlYmVyw61hCmp1bnRhciB0b2RvIGUgaXJtZSBhIGNhc2EuLi4=
C0oaAQ,,W3swfV0KRXhjdXNlIG1lLAp1bS4uLiBIZWxsbz8=,,,,,W3swfV0KQ29tIGxpY2Vuw6dhLApodW0uLi4gT2zDoT8=,,W3swfV0KRGlzY3VscGEsCmVoLi4uIMK/SG9sYT8=
DEoaAQ,,W0lkbGUgTWVyY2hhbnRdCk9oISBXZWxjb21lIHRvIG15IHNob3AhCkhvdyBjYW4gSSBoZWxwIHlvdSB0b2RheT8=,,,,,W01lcmNhZG9yIG9jaW9zb10KQWghIEJlbS12aW5kbyDDoCBtaW5oYSBsb2phIQpDb21vIHBvc3NvIGFqdWTDoS1sbyBob2plPw==,,W0NvbWVyY2lhbnRlIGRlc29jdXBhZG9dCsKhQWghIMKhUXXDqSBidWVubyB0ZW5lcnRlIGVuIG1pIHRpZW5kYSEKwr9FbiBxdcOpIHRlIHB1ZWRvIGF5dWRhciBob3k/
DUoaAQ,,W3swfV0KQWN0dWFsbHksIEknbSBub3QKaGVyZSB0byBidXkgYW55dGhpbmcuLi4KSSdtIGxvb2tpbmcgZm9yIGEgYm95Cm5hbWVkIFBob2JlIHRoYXQgd2FzCmhlcmUgYSBmZXcgZGF5cyBhZ28uCkhhdmUgeW91IHNlZW4gaGltPw==,,,,,W3swfV0KTmEgdmVyZGFkZSwgbsOjbyB2aW0KYXF1aSBwYXJhIGNvbXByYXIgbmFkYS4uLgpFc3RvdSBwcm9jdXJhbmRvIHBvciB1bSBnYXJvdG8KY2hhbWFkbyBQaG9iZSBxdWUgZXN0ZXZlCmFxdWkgaMOhIGFsZ3VucyBkaWFzLgpWb2PDqiBvIHZpdT8=,,W3swfV0KRW4gcmVhbGlkYWQsCm5vIHZlbmdvIGEgY29tcHJhciBuYWRhLi4uCkVzdG95IGJ1c2NhbmRvIGEgdW4gY2hpY28KbGxhbWFkbyBQaG9iZSBxdWUgZXN0dXZvCnBvciBhcXXDrSBoYWNlIHVub3MgZMOtYXMuCsK/TG8gdmlzdGU/
DkoaAQ,,W0lkbGUgTWVyY2hhbnRdCk9oISBZZWFoLCBsYXN0IG5pZ2h0LApzb21lIGd1eSBhc2tlZCBtZSB0byB0ZWxsCmFueW9uZSBsb29raW5nIGZvciB0aGlzIGd1eQpuYW1lZCBQaG9iZSB0byBnaXZlIHlvdQphIG1lc3NhZ2UuIEJhc2ljYWxseSwgaGUgd2FudHNeRkZGRkZGICAgIF4wMDAwMDAgeW91IHRvIGNvbWUgdG8gdGhlICcnaWNlIGNhdmUuJyc=,,,,,W01lcmNhZG9yIG9jaW9zb10KQWghIFNpbSwgb250ZW0gw6Agbm9pdGUsCnVtIGNhcmEgbWUgcGVkaXUgcGFyYSBkYXIgdW1hIG1lbnNhZ2VtIHBhcmEgcXVlbSBlc3RpdmVzc2UgcHJvY3VyYW5kbyBlc3NlIHRhbCBkZSBQaG9iZS4gQmFzaWNhbWVudGUsIGVsZSBxdWVyIHF1ZSBeRkZGRkZGIF4wMDAwMDAgdm9jw6ogdsOhIGF0w6kgYSAnJ0NhdmVybmEgZGUgR2VsbycnLg==,,W0NvbWVyY2lhbnRlIGRlc29jdXBhZG9dCsKhQWghIFPDrSwgYW5vY2hlCnVuIHRpcG8gbWUgcGlkacOzIHF1ZSBsZSBwYXNhcmEKdW4gbWVuc2FqZSBhIHF1aWVuIGVzdHV2aWVyYQpidXNjYW5kbyBhIHVuIHRhbApQaG9iZS4gQsOhc2ljYW1lbnRlLCBxdWllcmVeRkZGRkZGICAgIF4wMDAwMDAgcXVlIHZheWFzIGEgbGEgY3VldmEgZGUgaGllbG8u
D0oaAQ,,W3swfV0KV2hvIGFza2VkIHlvdSB0byB0ZWxsCm1lIHRoYXQ/IEhvdyBkaWQgaGUga25vdwp0aGF0IEknZCBjb21lIG92ZXIgaGVyZT8KRG9lcyBoZSBrbm93IHdoZXJlIFBob2JlCmlzPyBJLUlzIFBob2JlIGFscmlnaHQ/,,,,,W3swfV0KUXVlbSBwZWRpdSBwYXJhIHZvY8OqIG1lIGRpemVyIGlzc28/CkNvbW8gZWxlIHNhYmlhCnF1ZSBldSB2aXJpYSBhdMOpIGFxdWk/CkVsZSBzYWJlIG9uZGUgbyBQaG9iZQplc3TDoT8gRWxlIGVzdMOhIGJlbT8=,,W3swfV0Kwr9RdWnDqW4gdGUgcGlkacOzIHF1ZSBtZSBkaWplcmFzCmVzbz8gwr9Dw7NtbyBzYWLDrWEKcXVlIHlvIHZlbmRyw61hIGFxdcOtPwrCv1NhYmUgZMOzbmRlIGVzdMOhIApQaG9iZT8gwr9FLWVzdMOhIGJpZW4/
EEoaAQ,,W0lkbGUgTWVyY2hhbnRdCk5vIGNsdWUuIEkgdG9sZCB5b3UgYWxsCkkga25vdy4gTGV0J3Mgc2VlLCBoaXMKbmFtZSB3YXMuLi4gTm9nYW4/IApSb2dhbj8gU29tZXRoaW5nIApsaWtlIHRoYXQuIFRoYXQncwphbGwgSSBrbm93LCBob25lc3Qu,,,,,W01lcmNhZG9yIG9jaW9zb10KTsOjbyBmYcOnbyBpZGVpYS4gRXUgY29udGVpIHR1ZG8gbyBxdWUgc2VpLgpWZWphbW9zLCBzZXUKbm9tZSBlcmEuLi4gTm9nYW4/IApSb2dhbj8gQWxndW1hIGNvaXNhIGFzc2ltLiAKSXNzbyDDqQp0dWRvIG8gcXVlIHNlaSwgc2luY2VyYW1lbnRlLg==,,W0NvbWVyY2lhbnRlIGRlc29jdXBhZG9dCk5vIHRlbmdvIGlkZWEuIFRlIGNvbnTDqSB0b2RvCmxvIHF1ZSBzw6kuIEEgdmVyLCBzdQpub21icmUgZXJhLi4uIMK/Tm9nYW4/IArCv1JvZ2FuPyBBbGdvIApwb3IgZWwgZXN0aWxvLiBFcwp0b2RvIGxvIHF1ZSBzw6ksIGxvIGp1cm8u
EUoaAQ,,W0lkbGUgTWVyY2hhbnRdClNvIHRoZSBraWQncyBtaXNzaW5nLApodWg/IEdvb2QgbHVjayBmaW5kaW5nCmhpbS4gT2gsIGFuZCBiZSBjYXJlZnVsCmluIHRoYXQgaWNlIGNhdmUuIFRoYXQgcGxhY2UKY2FuIGJlIHBsZW50eSBkYW5nZXJvdXMu,,,,,W01lcmNhZG9yIG9jaW9zb10KRW50w6NvIG8gZ2Fyb3RvIGVzdMOhIGRlc2FwYXJlY2lkbywKw6k/IEJvYSBzb3J0ZSBwYXJhIGVuY29udHLDoS1sbwpBaCwgZSB0ZW5oYSBjdWlkYWRvCm5hcXVlbGEgQ2F2ZXJuYSBkZSBHZWxvLiBBcXVlbGUgbHVnYXIKcG9kZSBzZXIgbXVpdG8gcGVyaWdvc28u,,W0NvbWVyY2lhbnRlIGRlc29jdXBhZG9dCkFzw60gcXVlIGVsIG5pw7FvIGVzdMOhIHBlcmRpZG8sCsK/ZWg/IE11Y2hhIHN1ZXJ0ZSBwYXJhCmVuY29udHJhcmxvLiBBaCwgeSB0ZW4gY3VpZGFkbwpjb24gZXNhIGN1ZXZhIGRlIGhpZWxvLiBFcyB1biBsdWdhcgpiYXN0YW50ZSBwZWxpZ3Jvc28u
EkoaAQ,,W0lkbGUgTWVyY2hhbnRdClNvIHllYWgsIGxhc3QgbmlnaHQsCnNvbWUgZ3V5IGFza2VkIG1lIHRvIHRlbGwKYW55b25lIGxvb2tpbmcgZm9yIHRoaXMgZ3V5Cm5hbWVkIFBob2JlIHRvIGdpdmUgeW91CmEgbWVzc2FnZS4gQmFzaWNhbGx5LCBoZSB3YW50c15GRkZGRkYgICAgXjAwMDAwMCB5b3UgdG8gY29tZSB0byB0aGUgJydpY2UgY2F2ZS4nJw==,,,,,W0lkbGUgTWVyY2Fkb3JdClNpbSwgb250ZW0gw6Agbm9pdGUsCnVtIGNhcmEgbWUgcGVkaXUgcGFyYSBkYXIgdW1hIG1lbnNhZ2VtIHBhcmEgcXVlbSBlc3RpdmVzc2UgcHJvY3VyYW5kbyBlc3NlIHRhbCBkZSBQaG9iZS5CYXNpY2FtZW50ZSwgZWxlIHF1ZXIgcXVlIF5GRkZGRkYgXjAwMDAwMCB2b2PDqiB2w6EgYXTDqSBhICcnQ2F2ZXJuYSBkZSBHZWxvJycu,,W0NvbWVyY2lhbnRlIGRlc29jdXBhZG9dClPDrSwgYW5vY2hlLAp1biB0aXBvIG1lIHBpZGnDsyBxdWUgbGUgcGFzYXJhCnVuIG1lbnNhamUgYSBxdWllbiBlc3R1dmllcmEKYnVzY2FuZG8gYSB1biB0YWwKUGhvYmUuIELDoXNpY2FtZW50ZSwgcXVpZXJlXkZGRkZGRiAgICBeMDAwMDAwIHF1ZSB2YXlhcyBhIGxhIGN1ZXZhIGRlIGhpZWxvLg==
E0oaAQ,,W0lkbGUgTWVyY2hhbnRdCk5vIGNsdWUuIEkgdG9sZCB5b3UgYWxsCkkga25vdy4gTGV0J3Mgc2VlLCBoaXMKbmFtZSB3YXMuLi4gTG9nYW4/IApOb2dhbj8gU29tZXRoaW5nIApsaWtlIHRoYXQuIFRoYXQncwphbGwgSSBrbm93LCBob25lc3Qu,,,,,W01lcmNhZG9yIG9jaW9zb10KTsOjbyBmYcOnbyBpZGVpYS4gRXUgY29udGVpIHR1ZG8gbyBxdWUgc2VpLgpWZWphbW9zLCBzZXUKbm9tZSBlcmEuLi4gTG9nYW4/IApOb2dhbj8gQWxndW1hIGNvaXNhIGFzc2ltLiAKSXNzbyDDqQp0dWRvIG8gcXVlIHNlaSwgc2luY2VyYW1lbnRlLg==,,W0NvbWVyY2lhbnRlIGRlc29jdXBhZG9dCk5vIHRlbmdvIGlkZWEuIFRlIGNvbnTDqSB0b2RvCmxvIHF1ZSBzw6kuIEEgdmVyLCBzdQpub21icmUgZXJhLi4uIMK/TG9nYW4/IArCv05vZ2FuPyBBbGdvIApwb3IgZWwgZXN0aWxvLiBFcwp0b2RvIGxvIHF1ZSBzw6ksIGxvIGp1cm8u
FEoaAQ,,W0lkbGUgTWVyY2hhbnRdCkknbSB0aGlua2luZyBvZiBxdWl0dGluZwp0aGlzIGJ1c2luZXNzLi4uIE5vIG9uZQp0byBzZWVtcyB0byB3YW50IHdoYXRldmVyCkknbSBzZWxsaW5nISBJIGRlZmluaXRlbHkgY2FuJ3QKbWFrZSBhIGxpdmluZyBsaWtlIHRoaXMu,,,,,W01lcmNhZG9yIG9jaW9zb10KRXN0b3UgcGVuc2FuZG8gZW0gZGVzaXN0aXIKZGVzdGUgbmVnw7NjaW8uLi4gTmluZ3XDqW0KcGFyZWNlIHF1ZXJlciBvIHF1ZQplc3RvdSB2ZW5kZW5kbyEgRGVmaW5pdGl2YW1lbnRlIG7Do28gcG9zc28KZ2FuaGFyIGEgdmlkYSBhc3NpbS4=,,W0NvbWVyY2lhbnRlIGRlc29jdXBhZG9dCkNyZW8gcXVlIHZveSBhIGRlamFyCmVzdGUgbmVnb2Npby4uLiDCoU5hZGllCnF1aWVyZSBsbyBxdWUKdmVuZG8hIERlZmluaXRpdmFtZW50ZSBubyBwdWVkbwp2aXZpciBkZSBlc3RvLg==
FUoaAQ,,U3VzcGljaW91cyBNYW4=,,,,,SG9tZW0gc3VzcGVpdG8=,,SG9tYnJlIHNvc3BlY2hvc28=
FkoaAQ,,W3swfV0KRXhjdXNlIG1lLCBidXQgZG8geW91Cmtub3cgYSBtYW4gbmFtZWQKUm9nYW4/IEknbSBoZXJlIHRvLS0=,,,,,W3swfV0KQ29tIGxpY2Vuw6dhLCBtYXMgdm9jw6oKY29uaGVjZSB1bSBob21lbSBjaGFtYWRvClJvZ2FuPyBFc3RvdSBhcXVpIHBhcmEuLi4=,,W3swfV0KRGlzY3VscGEsCsK/Q29ub2NlcyBhIHVuIGhvbWJyZSBsbGFtYWRvClJvZ2FuPyBFc3RveSBhcXXDrSBwYXJhLi4u
F0oaAQ,,W1N1c3BpY2lvdXMgTWFuXQpIYWghIEkgaGFkIG5vIGlkZWEKaXQnZCBiZSB0aGlzIHNpbXBsZSEKRWFzaWVzdCBtb25leSBJJ3ZlCmV2ZXIgbWFkZSEgQndhaGFoYWhhIQpUaW1lIGZvciB5b3UgdG8gZGllLCBraWQh,,,,,W0hvbWVtIFN1c3BlaXRvXQpBaCEgRXUgbsOjbyB0aW5oYSBpZGVpYQpxdWUgc2VyaWEgdMOjbyBmw6FjaWwhCk8gZGluaGVpcm8gbWFpcyBmw6FjaWwgcXVlIGV1CmrDoSBnYW5oZWkhIEJ3YWhhaGFoYSEKRXN0w6EgbmEgaG9yYSBkZSB2b2PDqiBtb3JyZXIsIGdhcm90byE=,,W0hvbWJyZSBTb3NwZWNob3NvXQrCoUphISDCoU5vIHRlbsOtYSBpZGVhCmRlIHF1ZSBpYmEgYSBzZXIgdGFuIGbDoWNpbCEKwqFFbCBkaW5lcm8gbcOhcyBmw6FjaWwgcXVlCmdhbsOpIGVuIG1pIHZpZGEhIMKhTXVhLGphLGphLGphIQrCoUVzIGhvcmEgZGUgcXVlIG11ZXJhcywgbW9jb3NvIQ==
GEoaAQ,,W1N1c3BpY2lvdXMgTWFuXQpIeWFoIQ==,,,,,W0hvbWVtIFN1c3BlaXRvXQpBaCE=,,W0hvbWJyZSBTb3NwZWNob3NvXQrCoUphIQ==
GUoaAQ,,XjMzNTVGRlRoaXMgc3VzcGljaW91cyBtYW4Kd291bmRlZCB5b3Ugd2l0aCBhIHRocm93aW5nCmRhZ2dlciwgYW5kIHRoZW4gdGhyZXcgYW5vdGhlcgpvbmUgdGhhdCB5b3UgbWFuYWdlZCB0byBkb2RnZS4KWW91IHF1aWNrbHkgcmV0YWxpYXRlIHRvIGtlZXAKaGltIGZyb20gZnVydGhlciBoYXJtaW5nIHlvdS5eMDAwMDAw,,,,,XjMzNTVGRk8gaG9tZW0gc3VzcGVpdG8KbyBmZXJpdQpjb20gdW1hIGFkYWdhIGRlIGFycmVtZXNzbyBlIGRlcG9pcyBqb2dvdSBvdXRyYQpxdWUgdm9jw6ogY29uc2VndWl1IHNlIGVzcXVpdmFyLgpWb2PDqiByZXRhbGlvdSByYXBpZGFtZW50ZSBwYXJhIGV2aXRhciBxdWUgZWxlIG8gbWFjaHVjYXNzZSBhaW5kYSBtYWlzLl4wMDAwMDAK,,XjMzNTVGRkVsIGhvbWJyZSBzb3NwZWNob3NvCnRlIGxhbnphIHVuYSBkYWdhIHkgdGUgaGllcmUuCkx1ZWdvLCB0ZSBsYW56YSBvdHJhIGRhZ2EKcXVlIGxvZ3JhcyBldmFkaXIuClRlIHJlY3VwZXJhcyByw6FwaWRvIHkgY29udHJhYXRhY2FzCnBhcmEgZXZpdGFyIGxvcyBzaWd1aWVudGVzIGF0YXF1ZXMuXjAwMDAwMA==
GkoaAQ,,W1N1c3BpY2lvdXMgTWFuXQpBcmdoISBJLi4uCkkgZ3Vlc3MgSSB1bmRlcmVzdGltYXRlZAp5b3UhIFlvdSdyZSBhIGxvdCBzdHJvbmdlcgp0aGFuIHdoZW4geW91J3JlIHRha2VuIGJ5CnN1cnByaXNlLCBhZHZlbnR1cmVyIQ==,,,,,W0hvbWVtIFN1c3BlaXRvXQpBcmdoISBFdS4uLgpBY2hvIHF1ZSBzdWJlc3RpbWVpCnZvY8OqISBWb2PDqiDDqSBtdWl0byBtYWlzIGZvcnRlCmRvIHF1ZSBxdWFuZG8gw6kgcGVnbyBkZQpzdXJwcmVzYSwgYXZlbnR1cmVpcm8h,,W0hvbWJyZSBTb3NwZWNob3NvXQrCoUFqISBZby4uLgrCoVBhcmVjZSBxdWUgdGUKc3ViZXN0aW3DqSEgwqFFcmVzIG11Y2hvIG3DoXMgZnVlcnRlCmN1YW5kbyBubyB0ZSB0b21hbiBwb3IKc29ycHJlc2EsIHRyb3RhbXVuZG9zIQ==
G0oaAQ,,W3swfV0KSGV5LCB3aG8gdGhlIGhlbGwgYXJlCnlvdT8hIEFyZSB5b3UgTG9nYW4/CkFyZSB5b3UgdGhlIG9uZSB0aGF0CmtpZG5hcHBlZCBQaG9iZT8=,,,,,W3swfV0KRWksIHF1ZW0gZGlhYm9zIMOpIHZvY8OqPyEKVm9jw6ogw6kgbyBMb2dhbj8KRm9pIHZvY8OqIHF1ZW0Kc2VxdWVzdHJvdSBvIFBob2JlPw==,,W3swfV0KT3llLCDCocK/cXVpw6luIGRlbW9uaW9zCmVyZXM/ISDCv0VyZXMgTG9nYW4/CsK/RXJlcyB0w7ogZWwgcXVlCnNlY3Vlc3Ryw7MgYSBQaG9iZT8=
HEoaAQ,,W1N1c3BpY2lvdXMgTWFuXQpXaGF0IHRoLS0/IEkgZGlkbid0CmtpZG5hcCBub2JvZHkhIEkgZG9uJ3QKa25vdyBhbnkgUGhvYmUhIEkgd2FzCmp1c3QgaGlyZWQgdG8ga2lsbCB5b3UgYW5kCmJyaW5nIHlvdXIgYm9keSB0byBteSBjbGllbnQuClRoaXMgd2Fzbid0IHdoYXQgSSBleHBlY3RlZC4uLg==,,,,,W0hvbWVtIFN1c3BlaXRvXQpPIHF1w6ouLi4/IEV1IG7Do28Kc2VxdWVzdHJlaSBuaW5ndcOpbSEgRXUgbsOjbwpjb25oZcOnbyBuZW5odW0gUGhvYmUhIEV1IGZ1aQphcGVuYXMgY29udHJhdGFkbyBwYXJhIG1hdMOhLWxvIGUKbGV2YXIgc2V1IGNvcnBvIGF0w6kgbyBtZXUgY2xpZW50ZS4KTsOjbyBlcmEgaXNzbyBvIHF1ZSBldSBlc3BlcmF2YS4uLg==,,W0hvbWJyZSBTb3NwZWNob3NvXQrCv1F1w6kgZGVtby4uLj8gwqFZbyBubwpzZWN1ZXN0csOpIGEgbmFkaWUhIMKhTmkgc2lxdWllcmEKc8OpIHF1acOpbiBlcyBQaG9iZSEgTWUKY29udHJhdGFyb24gcGFyYSBtYXRhcnRlIHkKbGxldmFyIHR1IGN1ZXJwbyBhIG1pIGNsaWVudGUuCkVzdG8gbm8gZXJhIGxvIHF1ZSBlc3BlcmFiYS4uLg==
HUoaAQ,,W1N1c3BpY2lvdXMgTWFuXQpWaW5jZW50J3MgaW5zdHJ1Y3Rpb25zCndlcmUgdG8ga2lsbCBhbnlvbmUgdGhhdAphc2tlZCBhYm91dCBSb2dhbiwgc29tZQpuYW1lIGhlIG1hZGUgdXAuIE15IG5hbWUKaXMgTW9nYW4uIEdvc2guLi4gSSB0aG91Z2h0CnlvdSB3ZXJlIGEgcmVhbGx5IGJhZCBndXku,,,,,W0hvbWVtIFN1c3BlaXRvXQpBcyBpbnN0cnXDp8O1ZXMgZG8gVmluY2VudAplcmFtIHBhcmEgbWF0YXIgcXVhbHF1ZXIgdW0gcXVlCnBlcmd1bnRhc3NlIHNvYnJlIG8gUm9nYW4sIHVtCm5vbWUgcXVlIGVsZSBpbnZlbnRvdS4gTWV1IG5vbWUKw6kgTW9nYW4uIFB1eGEuLi4gUGVuc2VpCnF1ZSB2b2PDqiBmb3NzZSB1bSBjYXJhIG11aXRvIG1hdS4=,,W0hvbWJyZSBTb3NwZWNob3NvXQpMYXMgaW5zdHJ1Y2Npb25lcyBkZSBWaW5jZW50CmVyYW4gbWF0YXIgYSBjdWFscXVpZXJhIHF1ZQpwcmVndW50YXJhIHBvciBSb2dhbiwgdW4Kbm9tYnJlIHF1ZSBpbnZlbnTDsy4gTWkgbm9tYnJlCmVzIE1vZ2FuLiBWYXlhLi4uIHBlbnPDqSAKZXJhcyB1biB0aXBvIG1hbG8u
HkoaAQ,,W01vZ2FuXQpIZXksIHNldCBtZSBzdHJhaWdodApoZXJlLiBEaWQgeW91IHN0ZWFsCnNvbWV0aGluZyByZWFsbHkKdmFsdWFibGUsIGxpa2Ugc29tZQpyZWQgamV3ZWwgb3Igc29tZXRoaW5nPw==,,,,,W01vZ2FuXQpFaSwgbWUgZXNjbGFyZcOnYSB1bWEgY29pc2EuClZvY8OqIHJvdWJvdQphbGdvIG11aXRvCnZhbGlvc28sIGNvbW8gdW1hCmpvaWEgdmVybWVsaGEgb3UgYWxnbyBhc3NpbT8=,,W01vZ2FuXQpPeWUsIGRpbWUKYWxnby4gwr9Sb2Jhc3RlCmFsZ28gbXV5CnZhbGlvc28sIGNvbW8gdW5hCmdlbWEgcm9qYSBvIGFsZ28gYXPDrT8=
H0oaAQ,,W3swfV0KSHVoPyBObyEgVmluY2VudCBhY3R1YWxseQpzZW50IG1lIHRvIGxvb2sgZm9yIHRoZSBndXkKdGhhdCBzdG9sZSB0aGF0IGpld2VsLCBhbmQKdG8gcmV0cmlldmUgaXQgZm9yIGhpbSE=,,,,,W3swfV0KSMOjPyBOw6NvISBOYSB2ZXJkYWRlLCBvIFZpbmNlbnQKbWUgZW52aW91IHBhcmEgcHJvY3VyYXIgbyBjYXJhCnF1ZSByb3Vib3UgZXNzYSBqb2lhIGUKcmVjdXBlcmFyIGVsYSE=,,W3swfV0Kwr9FaD8gwqFObyEgRGUgaGVjaG8sIMKhVmluY2VudAptZSBlbnZpw7MgYSBidXNjYXIgYWwgdGlwbwpxdWUgcm9iw7MgZXNhIGdlbWEgeQphIHJlY3VwZXJhcmxhIHBhcmEgw6lsIQ==
IEoaAQ,,W01vZ2FuXQpJdCBsb29rcyBsaWtlIGhlIHNldAp1cyB1cCwgZHVkZS4gVGhhdCdzLi4uClRoYXQncyByZWFsbHkgbG93LiBTb3JyeSwKaWYgSSBoYWQga25vd24sIEkgd291bGRuJ3QKaGF2ZSBkb25lIGl0LiBXaHkgd291bGQKaGUgbWFuaXB1bGF0ZSB1cyBsaWtlIHRoYXQ/,,,,,W01vZ2FuXQpQYXJlY2UgcXVlIGVsZQpub3MgZW5nYW5vdSwgY2FyYS4gSXNzbyDDqS4uLgpJc3NvIMOpIG11aXRvIGJhaXhvLiBTaW50byBtdWl0bywKc2UgZXUgc291YmVzc2UsIGV1IG7Do28KdGVyaWEgZmVpdG8gaXNzby4gTWFzIHBvciBxdWUgZWxlCm5vcyBtYW5pcHVsYXJpYSBkZXNzYSBmb3JtYT8=,,W01vZ2FuXQpQYXJlY2UgcXVlIG5vcwplbmdhw7HDsywgYW1pZ28uIEVzbyBlc3TDoS4uLgpFc28gZXN0w6EgbXV5IG1hbC4gTG8gc2llbnRvLApzaSBsbyBodWJpZXJhIHNhYmlkbywgbm8KbG8gaGFicsOtYSBoZWNoby4gwr9Qb3IgcXXDqSAKbm9zIG1hbmlwdWxhcsOtYSBhc8OtPw==
IUoaAQ,,W3swfV0KSSBkb24ndCBrbm93Li4uCkknbSBnb2luZyB0byB0YWxrCnRvIFZpbmNlbnQgYW5kIG1ha2UKaGltIGV4cGxhaW4gZXZlcnl0aGluZy4=,,,,,W3swfV0KTsOjbyBzZWkuLi4KVm91IGZhbGFyIGNvbSBvClZpbmNlbnQgZSBmYXplcgplbGUgZXhwbGljYXIgdHVkby4=,,W3swfV0KTm8gc8OpLi4uClZveSBhIGhhYmxhcgpjb24gVmluY2VudCBwYXJhCnF1ZSBtZSBleHBsaXF1ZSB0b2RvLg==
IkoaAQ,,W1N1c3BpY2lvdXMgTWFuXQpUaC10aGVyZSdzIG5vdCBlbm91Z2gKYWlyIGhlcmUsIGl0J3Mgc28gc3R1ZmZ5IQpIZXksIGdldCBhd2F5ISBZb3UncmUKd2FzdGluZyBhbGwgb2YgbXkKcHJlY2lvdXMgb3h5Z2VuIQ==,,,,,W0hvbWVtIFN1c3BlaXRvXQpOLW7Do28gdGVtIGFyIHN1ZmljaWVudGUgYXF1aSwKZXN0w6EgbXVpdG8gYWJhZmFkbyEKRWksIHNhaWEgZGFxdWkhIFZvY8OqIGVzdMOhCmRlc3BlcmRpw6dhbmRvIHRvZG8gbyBtZXUKcHJlY2lvc28gb3hpZ8OqbmlvIQ==,,W0hvbWJyZSBTb3NwZWNob3NvXQpOLW5vIGhheSBzdWZpY2llbnRlCmFpcmUgYXF1w60uIMKhTWUgYWhvZ28hCsKhT3llLCBhbMOpamF0ZSEgwqFFc3TDoXMKZGVzcGVyZGljaWFuZG8gbWkKcHJlY2lvc28gb3jDrWdlbm8h
I0oaAQ,,S2lk,,,,,Q3JpYW7Dp2E=,,S2lk
JEoaAQ,,W0tpZF0KTGVhdmUgbWUgYWxvbmUh,,,,,W0NyaWFuw6dhXQpNZSBkZWl4ZSBlbSBwYXoh,,W05pw7FvXQrCoUTDqWphbWUgZW4gcGF6IQ==
