AFkAAQ,,R2F0ZQ==,,,,,R2F0ZWk=,,R2F0ZWk=
n1kAAQ,,W0JsYWRlXQpJbiB0aGUgZW5kLCB0aGV5IG9wZW5lZCB0aGUgdG93ZXIsIHN0aXJyZWQgcGVvcGxlJ3Mgc3Bpcml0IG9mIGFkdmVudHVyZSBieSBjYWxsaW5nIGl0IGFuIHVuc29sdmVkIG15c3RlcnksIGRyZXcgYWR2ZW50dXJlcnMgZnJvbSBhbGwgb3ZlciwgYW5kIGhhZCB0aGVtIGRlYWwgd2l0aCB0aGUgbW9uc3RlcnMu,,,,,W0J1cmxlZF0KTm8gZmltLCBhYnJpcmFtIGEgdG9ycmUgYW8gcMO6YmxpY28sIGNoYW1hbmRvLWEgZGUgbWlzdMOpcmlvIHNlbSBzb2x1w6fDo28sIGRlc3BlcnRhbmRvIG8gZXNww61yaXRvIGF2ZW50dXJlaXJvIGUgYXRyYWluZG8gYXZlbnR1cmVpcm9zIGRlIHRvZGEgcGFydGUgcGFyYSBlbGltaW5hciBvcyBtb25zdHJvcy4=,,W0J1cmxlZF0KQWwgZmluYWwsIGFicmllcm9uIGxhIHRvcnJlIGFsIHDDumJsaWNvLCBsbGFtw6FuZG9sYSBtaXN0ZXJpbyBzaW4gc29sdWNpw7NuLCBkZXNwZXJ0YW5kbyBlbCBlc3DDrXJpdHUgYXZlbnR1cmVybyB5IGF0cmF5ZW5kbyBhdmVudHVyZXJvcyBkZSB0b2RhcyBwYXJ0ZXMgcGFyYSBlbGltaW5hciBhIGxvcyBtb25zdHJ1b3Mu
oFkAAQ,,W0JsYWRlXQpUaGV5IHNheSB0aGV5IGFyZSBhc2tpbmcgZm9yIGFkdmVudHVyZXJzJyBjb29wZXJhdGlvbiwgYnV0Li4u,,,,,W0J1cmxlZF0KRWxlcyBkaXplbSBxdWUgZXN0w6NvIHBlZGluZG8gYSBjb29wZXJhw6fDo28gZG9zIHZpYWphbnRlcywgbWFzLi4u,,W0J1cmxlZF0KRGljZW4gcXVlIGVzdMOhbiBwaWRpZW5kbyBsYSBjb29wZXJhY2nDs24gZGUgbG9zIHZpYWplcm9zLCBwZXJvLi4u
oVkAAQ,,W0JsYWRlXQpJc24ndCBpdCBqdXN0IHRoYXQgdGhleSBhcmUgdHJ5aW5nIHRvIGdldCB0aGUgam9iIGRvbmUgd2l0aG91dCB0YWtpbmcgbG9zc2VzIHRoZW1zZWx2ZXM/IFVzaW5nIHVzIGFzIHRob3VnaCB3ZSB3ZXJlIGRpc3Bvc2FibGUu,,,,,W0J1cmxlZF0KTm8gZmltIGRhcyBjb250YXMsIG7Do28gw6kgc8OzIHVtYSBmb3JtYSBkZSByZXNvbHZlciB0dWRvIHNlbSBxdWUgZWxlcyBtZXNtb3Mgc2FpYW0gbm8gcHJlanXDrXpvPyBVc2FtIGEgZ2VudGUgY29tbyBzZSBmw7Rzc2Vtb3MgZGVzY2FydMOhdmVpcy4=,,W0J1cmxlZF0KQWwgZmluYWwsIMK/bm8gZXMgc29sbyB1bmEgZm9ybWEgZGUgcmVzb2x2ZXIgdG9kbyBzaW4gcXVlIGVsbG9zIG1pc21vcyBzYWxnYW4gcGVyZGllbmRvPyBOb3MgdXNhbiBjb21vIHNpIGZ1w6lyYW1vcyBkZXNlY2hhYmxlcy4=
olkAAQ,,W0JsYWRlXQpBbmQgYWxsIHdpdGhvdXQgZXZlbiByZXZlYWxpbmcgdGhlIHRydXRoIG9mIHdoYXQgaGFwcGVuZWQgdGhhdCBkYXku,,,,,W0J1cmxlZF0KTmVtIG1lIHNpbnRvIG1haXMgdsOtdGltYSwgc8OzIHF1ZXJvIHNhYmVyICdvIHF1ZSBlc3TDoSBub3MgbWF0YW5kbycuLi4/,,W0J1cmxlZF0KWWEgbm8gbWUgc2llbnRvIHbDrWN0aW1hLCBzb2xvIHF1aWVybyBzYWJlciAncXXDqSBub3MgZXN0w6EgbWF0YW5kbycuLi4/
o1kAAQ,,U28gdGhhdCBpbmNpZGVudCB3YXMuLi4/,,,,,RW50w6NvIGFxdWVsZSBhY2lkZW50ZSBmb2kuLi4/,,RW50b25jZXMsIMK/ZXNlIGFjY2lkZW50ZSBmdWUuLi4/
pFkAAQ,,W0JsYWRlXQpJdCBpcyBzdWNoIGFuIHVuYmVsaWV2YWJsZSBzdG9yeS4uLiBUbyBiZSBob25lc3QsIGV2ZW4gSSBjYW5ub3QgY29tcGxldGVseSBiZWxpZXZlIGl0IG15c2VsZi4gQW5kIEkgZG8gbm90IGtub3cgdGhhdCBtdWNoLCBlaXRoZXIuIFNvIHRha2UgdGhpcy4=,,,,,W0J1cmxlZF0Kw4kgdW1hIGhpc3TDs3JpYSB0w6NvIGRpZsOtY2lsIGRlIGFjcmVkaXRhci4uLiBQb3IgaXNzbywgcXVlcm8gcXVlIGZpcXVlIGNvbSBpc3RvLg==,,W0J1cmxlZF0KRXMgdW5hIGhpc3RvcmlhIHRhbiBkaWbDrWNpbCBkZSBjcmVlci4uLiBQb3IgZXNvLCBxdWllcm8gcXVlIHRlIHF1ZWRlcyBjb24gZXN0by4=
pVkAAQ,,QSByZWQga2V5Li4uPw==,,,,,VW1hIENoYXZlIFZlcm1lbGhhLi4uPw==,,wr9VbmEgTGxhdmUgUm9qYS4uLj8=
plkAAQ,,W0JsYWRlXQpZZXMuIE15IHJlcXVlc3QgaXMgdGhhdCB5b3UgaW52ZXN0aWdhdGUgdGhpcyBrZXkgYW5kIHRoZSB0b3dlci4gVGhpcyBrZXkgaXMgc3VyZWx5IGNvbm5lY3RlZCB0byB0aGUgc2VjcmV0IHRoaXMgdG93ZXIgaG9sZHMu,,,,,W0J1cmxlZF0KU2ltLiBNZXUgcGVkaWRvIMOpIHF1ZSBpbnZlc3RpZ3VlIGVzdGEgdG9ycmUuIEVzdGEgY2hhdmUgY2VydGFtZW50ZSBlc3TDoSBsaWdhZGEgYW8gc2VncmVkbyBxdWUgZXN0YSB0b3JyZSBndWFyZGEu,,W0J1cmxlZF0KU8OtLiBNaSBwZXRpY2nDs24gZXMgcXVlIGludmVzdGlndWVzIGVzdGEgdG9ycmUuIEVzdGEgbGxhdmUgY2llcnRhbWVudGUgZXN0w6EgbGlnYWRhIGFsIHNlY3JldG8gcXVlIGVzdGEgdG9ycmUgZ3VhcmRhLg==
p1kAAQ,,W0JsYWRlXQpJdCBtYXkgZXZlbiBsZWFkIHRvIFJla2VuYmVyJ3MgdHJ1ZSBwdXJwb3NlIGluIHRyeWluZyB0byBkZXZlbG9wIHRoaXMgdG93ZXIu,,,,,W0J1cmxlZF0KQSBDb3Jwb3Jhw6fDo28gUmVrZW5iZXIgdGVtIGFsZ3VtYSBvdXRyYSBpbnRlbsOnw6NvLCBuw6NvIGVzdMOhIHTDo28gaW50ZXJlc3NhZGEgbmEgdG9ycmUu,,W0J1cmxlZF0KTGEgQ29ycG9yYWNpw7NuIFJla2VuYmVyIHRpZW5lIGFsZ3VuYSBvdHJhIGludGVuY2nDs24sIG5vIGVzdMOhIHRhbiBpbnRlcmVzYWRhIGVuIGxhIHRvcnJlLg==
qFkAAQ,,VGhlaXIgdHJ1ZSBwdXJwb3NlPw==,,,,,T3V0cmEgaW50ZW7Dp8Ojbz8=,,wr9PdHJhIGludGVuY2nDs24/
qVkAAQ,,W0JsYWRlXQpDb21lIHRvIHRoaW5rIG9mIGl0LCBJIGZlZWwgUmVrZW5iZXIgaGFkIGFub3RoZXIgcHVycG9zZSBmb3IgZGV2ZWxvcGluZyB0aGlzIHRvd2VyIGZyb20gdGhlIHZlcnkgYmVnaW5uaW5nLiBUaGUgdGVybXMgdGhleSBvZmZlcmVkIHRvIGEgc21hbGwgY29tcGFueSBsaWtlIG91cnMgd2VyZSB0b28gZ29vZC4=,,,,,W0J1cmxlZF0KRGVzZGUgbyBjb21lw6dvIGEgUmVrZW5iZXIgcGFyZWNpYSB0ZXIgb3V0cm8gb2JqZXRpdm8gbm8gZGVzZW52b2x2aW1lbnRvIGRhIHRvcnJlLiBBcyBjb25kacOnw7VlcyBxdWUgb2ZlcmVjZXJhbSBhIHVtYSBlbXByZXNhIHBlcXVlbmEgY29tbyBhIG5vc3NhIGVyYW0gYm9hcyBkZW1haXMu,,W0J1cmxlZF0KRGVzZGUgZWwgcHJpbmNpcGlvIFJla2VuYmVyIHBhcmVjw61hIHRlbmVyIG90cm8gb2JqZXRpdm8gZW4gZWwgZGVzYXJyb2xsbyBkZSBsYSB0b3JyZS4gTGFzIGNvbmRpY2lvbmVzIHF1ZSBvZnJlY2llcm9uIGEgdW5hIGVtcHJlc2EgcGVxdWXDsWEgY29tbyBsYSBudWVzdHJhIGVyYW4gZGVtYXNpYWRvIGJ1ZW5hcy4=
qlkAAQ,,W0JsYWRlXQpUaGV5IHByb2JhYmx5IGtuZXcuClRoYXQgdGhpcyBwcm9qZWN0IHdvdWxkIGVudGFpbCBjb3VudGxlc3Mgc2FjcmlmaWNlcywgYW5kIHRoYXQgdGhleSB3b3VsZCBuZWVkIGEgc2NhcGVnb2F0IHRvIGJlYXIgdGhhdCBidXJkZW4gaW4gdGhlaXIgcGxhY2Uu,,,,,W0J1cmxlZF0KRWxlcyBwcm92YXZlbG1lbnRlIHNhYmlhbS4KU2FiaWFtIHF1ZSBlc3RlIHByb2pldG8gYWNhcnJldGFyaWEgaW7Dum1lcm9zIHNhY3JpZsOtY2lvcyBlIHF1ZSBwcmVjaXNhcmlhbSBkZSB1bSBib2RlIGV4cGlhdMOzcmlvIHBhcmEgY2FycmVnYXIgZXNzZSBwZXNvLg==,,W0J1cmxlZF0KRWxsb3MgcHJvYmFibGVtZW50ZSBzYWLDrWFuLgpTYWLDrWFuIHF1ZSBlc3RlIHByb3llY3RvIGFjYXJyZWFyw61hIGlubnVtZXJhYmxlcyBzYWNyaWZpY2lvcyB5IHF1ZSBuZWNlc2l0YXLDrWFuIHVuIGNoaXZvIGV4cGlhdG9yaW8gcGFyYSBjYXJnYXIgY29uIGVzZSBwZXNvLg==
q1kAAQ,,W0JsYWRlXQpBcyB0aGV5IGV4cGVjdGVkLCB0aGVyZSB3ZXJlIG1hbnkgc2FjcmlmaWNlcywgYW5kIFJla2VuYmVyIGlzIHN0aWxsIHRyeWluZyB0byBjb250aW51ZSBkZXZlbG9waW5nIHRoaXMgcGxhY2Ugd2hpbGUgY292ZXJpbmcgaXQgdXAuIFRoZXkgYXJlIGV2ZW4gaGFuZGluZyBvdXQgY29tcGVuc2F0aW9uLg==,,,,,W0J1cmxlZF0KQ29tbyBwcmV2aXN0byBwb3IgZWxlcywgaG91dmUgdW0gbsO6bWVybyBjb25zaWRlcsOhdmVsIGRlIG1vcnRlcywgZSBhIFJla2VuYmVyIGNvbnRpbnVhIHRlbnRhbmRvIGRlc2Vudm9sdmVyIGVzdGUgbHVnYXIgbWVzbW8gZW5xdWFudG8gZW5jb2JyZSB0dWRvIGlzc28uIEF0w6kgb2ZlcmVjZW5kbyByZWNvbXBlbnNhcy4=,,W0J1cmxlZF0KQ29tbyBlbGxvcyBwcmV2aWVyb24sIGh1Ym8gdW4gbsO6bWVybyBjb25zaWRlcmFibGUgZGUgbXVlcnRlcywgeSBSZWtlbmJlciBjb250aW7DumEgaW50ZW50YW5kbyBkZXNhcnJvbGxhciBlc3RlIGx1Z2FyIGluY2x1c28gbWllbnRyYXMgZW5jdWJyZSB0b2RvIGVzdG8uIEhhc3RhIG9mcmVjaWVuZG8gcmVjb21wZW5zYXMu
rFkAAQ,,W0JsYWRlXQpUaGF0IGtleSB3YXMgZm91bmQgdW5kZXIgdGhlIGJvZHkgb2YgYSBjb2xsZWFndWUgd2hlbiB3ZSB3ZW50IGluIHRvIHJlY292ZXIgdGhlIHNpdGUgYWZ0ZXIgdGhlIGFjY2lkZW50Lg==,,,,,W0J1cmxlZF0KRXNzYSBjaGF2ZSBmb2kgZW5jb250cmFkYSBzb2IgbyBjb3JwbyBkZSB1bSBjb2xlZ2EsIHF1YW5kbyBlbnRyYW1vcyBwYXJhIG9yZ2FuaXphciBvIGxvY2FsIGRlcG9pcyBkbyBhY2lkZW50ZS4=,,W0J1cmxlZF0KRXN0YSBsbGF2ZSBmdWUgZW5jb250cmFkYSBiYWpvIGVsIGN1ZXJwbyBkZSB1biBjb2xlZ2EsIGN1YW5kbyBlbnRyYW1vcyBwYXJhIG9yZ2FuaXphciBlbCBsdWdhciBkZXNwdcOpcyBkZWwgYWNjaWRlbnRlLg==
rVkAAQ,,W0JsYWRlXQpPcmlnaW5hbGx5LCB0aGlzIHRvd2VyIHdhcyBjb21wbGV0ZWx5IGN1dCBvZmYgZnJvbSB0aGUgb3V0c2lkZSBieSBwb3dlcmZ1bCBiYXJyaWVycyBhbmQgc2VhbHMuCldlIGhhZCB0byBleHBsb3JlIHRoZSBpbnRlcmlvciBhbmQgY2Fycnkgb3V0IGRldmVsb3BtZW50IHdoaWxlIHJlbW92aW5nIHRob3NlIHNlYWxzIG9uZSBieSBvbmUu,,,,,W0J1cmxlZF0KRXN0YSB0b3JyZSBlc3TDoSBzZWxhZGEgZSBzZXBhcmFkYSBkbyBleHRlcmlvci4KVGl2ZW1vcyBkZSBkZXNmYXplciBlc3NlcyBzZWxvcyB1bSBhIHVtIHBhcmEgZXhwbG9yYXIgbyBpbnRlcmlvciBlIHJlYWxpemFyIG8gZGVzZW52b2x2aW1lbnRvLg==,,W0J1cmxlZF0KRXN0YSB0b3JyZSBlc3TDoSBzZWxsYWRhIHkgc2VwYXJhZGEgZGVsIGV4dGVyaW9yLgpUdXZpbW9zIHF1ZSBkZXNoYWNlciBlc3RvcyBzZWxsb3MgdW5vIHBvciB1bm8gcGFyYSBleHBsb3JhciBlbCBpbnRlcmlvciB5IHJlYWxpemFyIGVsIGRlc2Fycm9sbG8u
rlkAAQ,,W0JsYWRlXQpCZWZvcmUgdGhhdCwgaXQgaGFkIGJlZW4ganVzdCBhbiBvcmRpbmFyeSBzdHJ1Y3R1cmUgd2hlcmUgbm90aGluZyBhcHBlYXJlZCBubyBtYXR0ZXIgaG93IG11Y2ggd2UgaW52ZXN0aWdhdGVkLCBidXQgb25jZSBodW1hbiBibG9vZCB3YXMgc3BpbGxlZCwgaXQgc3VkZGVubHkgY2FtZSBpbnRvIGJlaW5nLiBUaGVyZSBhcmUgcHJvYmFibHkgbW9yZSBtZWNoYW5pc21zIGxpa2UgdGhhdCBpbiB0aGlzIHRvd2VyLg==,,,,,W0J1cmxlZF0KQW50ZXMgZGlzc28sIG1lc21vIHF1YW5kbyBpbnZlc3RpZ8OhdmFtb3MsIGVyYSB1bWEgZXN0cnV0dXJhIGNvbXVtIHNlbSBuYWRhLiBNYXMsIGRlcG9pcyBxdWUgbyBzYW5ndWUgaHVtYW5vIGZvaSBkZXJyYW1hZG8sIGFxdWlsbyBzdXJnaXUgZGUgcmVwZW50ZS4gUHJvdmF2ZWxtZW50ZSBow6EgbWFpcyBzZWxvcyBhc3NpbSBuZXN0YSB0b3JyZS4=,,W0J1cmxlZF0KQW50ZXMgZGUgZXNvLCBpbmNsdXNvIGN1YW5kbyBpbnZlc3RpZ8OhYmFtb3MsIGVyYSB1bmEgZXN0cnVjdHVyYSBjb23Dum4gc2luIG5hZGEuIFBlcm8sIGRlc3B1w6lzIGRlIHF1ZSBzZSBkZXJyYW3DsyBzYW5ncmUgaHVtYW5hLCBhcXVlbGxvIHN1cmdpw7MgZGUgcmVwZW50ZS4gUHJvYmFibGVtZW50ZSBoYXlhIG3DoXMgc2VsbG9zIGFzw60gZW4gZXN0YSB0b3JyZS4=
r1kAAQ,,W0JsYWRlXQpUaGVyZSBpcyBzb21ldGhpbmcgbW9yZSBoZXJlLCBhbmQgcGVyaGFwcyB0aGF0IGlzIFJla2VuYmVyJ3MgdHJ1ZSBvYmplY3RpdmUuIE9mIGNvdXJzZSwgdGhhdCBpcyBqdXN0IG15IGd1ZXNzLiBCdXQgdGhpbmtpbmcgdGhhdCB3YXksIEkganVzdCBjb3VsZCBub3QgaGFuZCB0aGUga2V5IG92ZXIgdG8gUmVrZW5iZXIu,,,,,W0J1cmxlZF0KSMOhIGFsZ28gbWFpcyBhcXVpLCBlIHRhbHZleiBzZWphIGVzc2UgbyB2ZXJkYWRlaXJvIG9iamV0aXZvIGRhIFJla2VuYmVyLiBDbGFybywgaXNzbyDDqSBzw7MgdW1hIHN1cG9zacOnw6NvIG1pbmhhLiBNYXMgY29tIGVzc2UgcGVuc2FtZW50bywgc2ltcGxlc21lbnRlIG7Do28gY29uc2VndWkgZW50cmVnYXIgYSBjaGF2ZSDDoCBSZWtlbmJlci4=,,W0J1cmxlZF0KSGF5IGFsZ28gbcOhcyBhcXXDrSwgeSB0YWwgdmV6IGVzZSBzZWEgZWwgdmVyZGFkZXJvIG9iamV0aXZvIGRlIFJla2VuYmVyLiBDbGFybywgZXN0byBlcyBzb2xvIHVuYSBzdXBvc2ljacOzbiBtw61hLiBQZXJvIGNvbiBlc3RlIHBlbnNhbWllbnRvLCBzaW1wbGVtZW50ZSBubyBwdWRlIGVudHJlZ2FyIGxhIGxsYXZlIGEgUmVrZW5iZXIu
sFkAAQ,,W0JsYWRlXQpXaGF0IGluIHRoZSB3b3JsZCBpcyB0aGlzIHRvd2VyPyBXaHkgYXJlIHRoZXkgc28gZGVzcGVyYXRlIHRvIGRldmVsb3Agc3VjaCBhIGRhbmdlcm91cyBwbGFjZS4uPw==,,,,,W0J1cmxlZF0KTyBxdWUgw6kgZXN0YSB0b3JyZSwgYWZpbmFsPyBQb3IgcXVlIGVsZXMgaW5zaXN0aXJhbSB0YW50byBlbSBkZXNlbnZvbHZlciB1bWEgcmVnacOjbyB0w6NvIHBlcmlnb3NhIGFzc2ltPw==,,W0J1cmxlZF0Kwr9RdcOpIGVzIGVzdGEgdG9ycmUsIGFsIGZpbmFsPyDCv1BvciBxdcOpIGluc2lzdGllcm9uIHRhbnRvIGVuIGRlc2Fycm9sbGFyIHVuYSByZWdpw7NuIHRhbiBwZWxpZ3Jvc2E/
sVkAAQ,,W0JsYWRlXQpXaHk/IEZvciB3aGF0IHB1cnBvc2U/IFdoeSBkaWQgbXkgY29sbGVhZ3VlcyBoYXZlIHRvIGRpZT8=,,,,,W0J1cmxlZF0KUG9yIHF1w6o/IENvbSBxdWUgcHJvcMOzc2l0bz8gUG9yIHF1ZSBtZXVzIGNvbGVnYXMgdGl2ZXJhbSBkZSBtb3JyZXI/,,W0J1cmxlZF0Kwr9Qb3IgcXXDqT8gwr9Db24gcXXDqSBwcm9ww7NzaXRvPyDCv1BvciBxdcOpIG1pcyBjb2xlZ2FzIHR1dmllcm9uIHF1ZSBtb3Jpcj8=
slkAAQ,,W0JsYWRlXQpTbyBJIGJvdyBteSBoZWFkIGFuZCBhc2sgeW91IHRoaXMu,,,,,W0J1cmxlZF0KUG9yIGlzc28sIGltcGxvcm8gw6Agdm9jw6ou,,W0J1cmxlZF0KUG9yIGVzbywgdGUgcnVlZ28u
s1kAAQ,,W0JsYWRlXQpQbGVhc2UuLi4gdGVsbCBtZSBSZWtlbmJlcidzIHB1cnBvc2UuLiBhbmQgdGhlIHJlYXNvbiBteSBjb2xsZWFndWVzIGhhZCB0byBiZSBzYWNyaWZpY2VkLi4uLg==,,,,,W0J1cmxlZF0KUG9yIGZhdm9yLCBkZXNjdWJyYSBvIG9iamV0aXZvIGRhIFJla2VuYmVyLi4uIGUgYSByYXrDo28gcGVsYSBxdWFsIG1ldXMgY29sZWdhcyBtb3JyZXJhbS4uLi4=,,W0J1cmxlZF0KUG9yIGZhdm9yLCBkZXNjdWJyZSBlbCBvYmpldGl2byBkZSBSZWtlbmJlci4uLiB5IGxhIHJhesOzbiBwb3IgbGEgcXVlIG1pcyBjb2xlZ2FzIG11cmllcm9uLi4u
tFkAAQ,,LSBCbGFkZSdzIHRpZ2h0bHkgY2xlbmNoZWQgaGFuZHMgdHJlbWJsZWQgZmFpbnRseSBhcyBoZSBib3dlZCBoaXMgaGVhZCBhbmQgYmVnZ2VkLiBVbmFibGUgdG8gZ2l2ZSBhbnkgZ3JhbmQgcmVwbHksIEkgY291bGQgb25seSBub2QgYW5kIHNheSB0aGF0IEkgdW5kZXJzdG9vZC4gLQ==,,,,,KkJ1cmxlZCBlc3TDoSB0cmVtZW5kbyBkZSBuZXJ2b3NvLi4uIFZvY8OqIGFwZW5hcyBiYWxhbmNhIGEgY2FiZcOnYS4q,,KkJ1cmxlZCBlc3TDoSB0ZW1ibGFuZG8gZGUgbmVydmlvcy4uLiBUw7ogc29sbyBhc2llbnRlcyBjb24gbGEgY2FiZXphLio=
tVkAAQ,,W0JsYWRlXQpUaGFuayB5b3Ugc28gbXVjaC4gVGhlbiBJIHdpbGwgb3BlbiB0aGUgZG9vciBmb3IgeW91LiBQbGVhc2UgcmV0dXJuIHNhZmVseS4=,,,,,W0J1cmxlZF0KTXVpdG8gb2JyaWdhZG8uIEVudMOjbyB2b3UgYWJyaXIgYSBwb3J0YS4gVsOhIGUgdm9sdGUgZW0gc2VndXJhbsOnYS4=,,W0J1cmxlZF0KTXVjaGFzIGdyYWNpYXMuIEVudG9uY2VzIHZveSBhIGFicmlyIGxhIHB1ZXJ0YS4gVmUgeSByZWdyZXNhIGNvbiBzZWd1cmlkYWQu
tlkAAQ,,LSBXaGVuIHlvdSBncmFzcCB0aGUgcmVkIGtleSwgaXQgdHJlbWJsZXMgZmFpbnRseSBhbmQgeW91IGNhbiBmZWVsIGEgc2xpZ2h0IHBvd2VyLiBMZXQgdXMgZ28gd2hlcmUgdGhhdCBwb3dlciBsZWFkcy4gLQ==,,,,,KkFvIHNlZ3VyYXIgYSBjaGF2ZSB2ZXJtZWxoYSwgZWxhIHZpYnJhIGxldmVtZW50ZSBlIHVtYSBmb3LDp2EgZnJhY2EgcG9kZSBzZXIgc2VudGlkYS4gVmFtb3MgcGFyYSBvIGx1Z2FyIHBhcmEgb25kZSBlc3NhIGZvcsOnYSBsZXZhLio=,,KkFsIHNvc3RlbmVyIGxhIGxsYXZlIHJvamEsIHZpYnJhIGxpZ2VyYW1lbnRlIHkgc2Ugc2llbnRlIHVuYSBmdWVyemEgZMOpYmlsLiBWYXlhbW9zIGFsIGx1Z2FyIGhhY2lhIGRvbmRlIGVzYSBmdWVyemEgbGxldmEuKg==
t1kAAQ,,W0JsYWRlXQpXZSBvbmx5IG1hbmFnZWQgdG8gZGV2ZWxvcCBhYm91dCB0aGUgM3JkIGFuZCA0dGggZmxvb3JzLCBzbyB0aGVyZSBhcmUgcHJvYmFibHkgc3RpbGwgdGhpbmdzIGxpa2Ugc2VhbHMgcmVtYWluaW5nLgpJZiB5b3Ugc2VhcmNoIGFyb3VuZCB0aG9zZSwgeW91IG1heSBmaW5kIHNvbWV0aGluZy4=,,,,,W0J1cmxlZF0KRXN0YW1vcyBleHBsb3JhbmRvIG8gM8K6IGUgNMK6IGFuZGFyIGFnb3JhLi4uIEFpbmRhIGjDoSBzZWxvcyBwb3IgbMOhLgpWb2PDqiBwb2RlIGRlc2NvYnJpciBwaXN0YXMgcXVhbmRvIHByb2N1cmFyIG9zIHNlbG9zLg==,,W0J1cmxlZF0KRXN0YW1vcyBleHBsb3JhbmRvIGVsIDMuwrogeSA0LsK6IHBpc28gYWhvcmEuLi4gQcO6biBoYXkgc2VsbG9zIHBvciBhbGzDrS4KUHVlZGVzIGRlc2N1YnJpciBwaXN0YXMgY3VhbmRvIGJ1c3F1ZXMgbG9zIHNlbGxvcy4=
uFkAAQ,,W0JsYWRlXQpGaXJzdC4uLiBJIHdvdWxkIGxpa2UgeW91IHRvIGdvIHRvIHRoZSBwbGFjZSB3aGVyZSBteSBsYXRlIGZyaWVuZCBzYWlkIGhlIGZlbHQgYSBzdHJhbmdlIGF1cmEuCkhlIHdhcyBuZXZlciBhYmxlIHRvIHVuY292ZXIgd2hhdCB0aGF0IGF1cmEgcmVhbGx5IHdhcy4=,,,,,W0J1cmxlZF0KUHJpbWVpcm8uLi4gZ29zdGFyaWEgcXVlIHZvY8OqIGZvc3NlIGFvIGx1Z2FyIG9uZGUgbWV1IGFtaWdvIG1vcnRvIGRpemlhIHNlbnRpciB1bWEgYXVyYSBlc3RyYW5oYS4KTm8gZmltLCBlbGUgbsOjbyBjb25zZWd1aXUgZGVzY29icmlyIGEgdmVyZGFkZWlyYSBuYXR1cmV6YSBkYXF1ZWxhIGF1cmEu,,W0J1cmxlZF0KUHJpbWVyby4uLiBtZSBndXN0YXLDrWEgcXVlIGZ1ZXJhcyBhbCBsdWdhciBkb25kZSBtaSBhbWlnbyBtdWVydG8gZGVjw61hIHNlbnRpciB1biBhdXJhIGV4dHJhw7FhLgpBbCBmaW5hbCwgw6lsIG5vIHB1ZG8gZGVzY3VicmlyIGxhIHZlcmRhZGVyYSBuYXR1cmFsZXphIGRlIGVzYSBhdXJhLg==
uVkAAQ,,W0JsYWRlXQpPdGhlciBrZXlzLi4uIGFuZCBhIG1lc3NhZ2UuLi4/Ci4uLkFzIEkgdGhvdWdodCwgdGhlcmUgYXJlIHN0aWxsIHNlY3JldHMgdGhyb3VnaG91dCB0aGlzIHRvd2VyIHRoYXQgd2UgaGF2ZSBub3QgeWV0IHNvbHZlZC4=,,,,,W0J1cmxlZF0KT3V0cmFzIGNoYXZlcy4uLiBlIHVtYSBtZW5zYWdlbS4uLj8KLi4uQ2VydGFtZW50ZSBuw6NvIGRlc2NvYnJpbW9zIHRvZG9zIG9zIHNlZ3JlZG9zIGRhIHRvcnJlLg==,,W0J1cmxlZF0Kwr9PdHJhcyBsbGF2ZXMuLi4geSB1biBtZW5zYWplLi4uPwouLi5DaWVydGFtZW50ZSBubyBkZXNjdWJyaW1vcyB0b2RvcyBsb3Mgc2VjcmV0b3MgZGUgbGEgdG9ycmUu
ulkAAQ,,W0JsYWRlXQpUaGUgb25lIHdobyBzZWFsZWQgdGhpcyBwbGFjZSB3YXMuLi4uLgouLi5BaC4gV291bGQgeW91IG5vdCBpbnZlc3RpZ2F0ZSBqdXN0IGEgbGl0dGxlIG1vcmU/ClN1cmVseSB0aGVyZSBtdXN0IGJlIF40RDRERkZzb21ldGhpbmcgZGVjaXNpdmVeMDAwMDAwLg==,,,,,W0J1cmxlZF0KUXVlbSBmZXogZXNzZXMgc2Vsb3MuLi4KLi4uIFZvY8OqIHBvZGUgaW52ZXN0aWdhciBtYWlzPz8KRGV2ZSB0ZXIgYWxnbyBtYWlzIF40RDRERkZpbXBvcnRhbnRlXjAwMDAwMC4=,,W0J1cmxlZF0KUXVpZW4gaGl6byBlc3RvcyBzZWxsb3MuLi4KLi4uIMK/UHVlZGVzIGludmVzdGlnYXIgbcOhcz8KRGViZSBoYWJlciBhbGdvIG3DoXMgXjRENERGRmltcG9ydGFudGVeMDAwMDAwLg==
u1kAAQ,,W0JsYWRlXQpIYXMgdGhlcmUgYmVlbiBhbnkgcHJvZ3Jlc3M/,,,,,W0J1cmxlZF0KVm9jw6ogZmV6IGFsZ3VtIHByb2dyZXNzbz8=,,W0J1cmxlZF0Kwr9IYXMgcHJvZ3Jlc2FkbyBlbiBhbGdvPw==
vFkAAQ,,VmFybXVudCdzIE5vdGVib29rLi4u,,,,,QWNoZWkgbyBDYWRlcm5vIGRlIFZhcm11bnQuLi4=,,RW5jb250csOpIGVsIEN1YWRlcm5vIGRlIFZhcm11bnQuLi4=
