wHguAg,,Tm95ZWU=,,,,,Tm95ZWU=,,Tm95ZWU=
PXkuAg,,W0t1cmR0XQpPb2guLi4KSSBjb3VsZCB1c2UgdGhlc2UuCkFuZCB0aGVzZSB0b28uIE9oIQpZb3UgYWR2ZW50dXJlcnMgY2FycnkKYSBsb3Qgb2YgdGhpbmdzLCBkb24ndCB5b3U/,,,,,W0t1cmR0XQpIbW1tLi4uLgpFdSBwb3NzbyB1c2FyIGVzc2VzLi4uCmUgZXNzZXMgdGFtYsOpbS4uLi4uCmVlZSBlc3NlcyB0YW1iw6ltLi4uLi4uCkhtbS4uLi4u,,W0t1cmR0XQpPaC4uLgpFc3RvIG1lIHNpcnZlLgpZIGVzdG8gdGFtYmnDqW4uIMKhQWghClVzdGVkZXMgbG9zIHRyb3RhbXVuZG9zIGxsZXZhbgptdWNoYXMgY29zYXMsIMK/dmVyZGFkPw==
PnkuAg,,W0t1cmR0XQpBaC4uLi4hClRoZSBtYXRlcmlhbHMgeW91IGhhdmUgc2hvdWxkIGJlIGVub3VnaCBmb3IgbWUgdG8gY29uZHVjdCBteSBleHBlcmltZW50LiBUaGFuayB5b3Ugc28gbXVjaC4=,,,,,W0t1cmR0XQpBaC4uLi4hClZvY8OqIHRyb3V4ZSB0dWRvIHF1ZSBwcmVjaXNvLgpNdWl0byBvYnJpZ2FkYS4=,,W0t1cmR0XQrCoUFoLi4uIQpMb3MgbWF0ZXJpYWxlcyBxdWUgdGllbmVzIGRlYmVyw61hbiBiYXN0YXJtZSBwYXJhIGxsZXZhciBhIGNhYm8gbWkgZXhwZXJpbWVudG8uIE11Y2hhcyBncmFjaWFzLg==
P3kuAg,,W0t1cmR0XQpXaXRoIHRoZXNlLCBJIGNhbiBjb250aW51ZSBteSByZXNlYXJjaCB3aXRob3V0IGFueSBwcm9ibGVtLiBJJ20gcGxlYXNhbnRseSBzdXJwcmlzZWQgd2l0aCB0aGUgam9iIHlvdSd2ZSBkb25lLg==,,,,,W0t1cmR0XQpDb20gZXNzZXMsIHBvc3NvIGNvbnRpbnVhciBhIG1pbmhhIHBlc3F1aXNhIHNlbSBwcm9ibGVtYXMu,,W0t1cmR0XQpDb24gZXN0bywgcHVlZG8gc2VndWlyIGludmVzdGlnYW5kbyBzaW4gcHJvYmxlbWFzLiBNZSBoYXMgZGFkbyB1bmEgZ3JhdGEgc29ycHJlc2EgY29uIGVsIHRyYWJham8gcXVlIGhpY2lzdGUu
QHkuAg,,W0t1cmR0XQpZb3UgcmVhbGx5IHdlcmUKc3VjaCBhIGdyZWF0IGhlbHAuClRoYW5rIHlvdSBzbyBtdWNoIQpIYWhhaGEuLi4uIQ==,,,,,W0t1cmR0XQpFdSBuw6NvIGVzcGVyYXZhIHF1ZSB2b2PDqiBmaXplc3NlIHVtIHRyYWJhbGhvIHTDo28gYm9tLi4uCnZvY8OqIMOpIMOzdGltbyEKTXVpdG8gb2JyaWdhZGEhCkhhaGFoYS4uLi4=,,W0t1cmR0XQpUdSBheXVkYSBlbiB2ZXJkYWQKZnVlIGV4Y2VsZW50ZS4KwqFNdWNow61zaW1hcyBncmFjaWFzIQrCoUphLCBqYSwgamEuLi4h
QXkuAg,,W0t1cmR0XQpOb3csIHRoZXJlIG1heSBiZQpvdGhlciByZXNlYXJjaGVycwp3aG8gbWlnaHQgbmVlZCB5b3VyIGhlbHAgaW4gY29tcGxldGluZyB0aGVpciBwcm9qZWN0cy4gV2h5IGRvbid0IHlvdSBhc2sgYXJvdW5kIHRvIHNlZSBpZgp0aGV5IG5lZWQgYW55dGhpbmc/,,,,,W0t1cmR0XQpBc3NpbSBjb21vIGV1LCBvdXRyb3MgcGVzcXVpc2Fkb3JlcyBwb2RlbSBwcmVjaXNhciBkYSBzdWEgYWp1ZGEgdGFtYsOpbS4=,,W0t1cmR0XQpCdWVubywgdGFsIHZleiBoYXlhCm90cm9zIGludmVzdGlnYWRvcmVzCnF1ZSBwdWVkYW4gbmVjZXNpdGFyIHR1IGF5dWRhIHBhcmEgY29tcGxldGFyIHN1cyBwcm95ZWN0b3MuIMK/UG9yIHF1w6kgbm8gcHJlZ3VudGFzIHBvciBhaMOtIGEgdmVyIHNpCm5lY2VzaXRhbiBhbGdvPw==
QnkuAg,,W0t1cmR0XQpTdGlsbCwgeW91IGRvbid0IHNlZW0gdG8gaGF2ZSBlbm91Z2ggbWF0ZXJpYWxzIGZvciBtZSB0bwpjb21wbGV0ZSBteSByZXNlYXJjaApSZW1lbWJlciwgSSBuZWVkCmEgaHVnZSB2YXJpZXR5Lg==,,,,,W0t1cmR0XQpCZW0uLi4uLi4uLi4KSXNzbyBuw6NvIHBhcmVjZSBzdWZpY2llbnRlIHBhcmEgY29udGludWFyIGEgcGVzcXVpc2EuCkRlc2N1bHBlIHBvciBjYXVzYXItbGhlIHByb2JsZW1hcywgbWFzLCBwb3IgZmF2b3IsIHbDoSBwZWdhciB1bSBwb3VjbyBtYWlzLg==,,W0t1cmR0XQpBdW4gYXPDrSwgbm8gcGFyZWNlIHF1ZSB0ZW5nYXMgc3VmaWNpZW50ZXMgbWF0ZXJpYWxlcyBwYXJhIHF1ZQpwdWVkYSBjb21wbGV0YXIgbWkgaW52ZXN0aWdhY2nDs24uClJlY3VlcmRhLCBuZWNlc2l0bwp1bmEgZ3JhbiB2YXJpZWRhZC4=
Q3kuAg,,W0t1cmR0XQpJJ20gc29ycnkgZm9yIHRoZSBoYXNzbGUsIGJ1dCBkbyB5b3UgdGhpbmsgeW91IGNvdWxkIGdvIG91dCBhbmQgY29sbGVjdCB0aGluZ3Mgc28gdGhhdCBJIGNhbiBhdHRlbXB0IHRvIHJlY3JlYXRlIHRoZQonU3Bpcml0IG9mIEZpc2g/Jw==,,,,,W0t1cmR0XQpNYXMsIGV1IG7Do28gcHJlY2lzbyBmYXplciBpc3NvIGFnb3JhLCBqw6EgcXVlIHZvY8OqIGVzdMOhIGFxdWkuCk8gcXVlIGV1IHByZWNpc28gYWdvcmEgc8OjbyBtYXRlcmlhaXMgcGFyYSByZXByb2R1emlyCkjDoWxpdG8gZGUgUGVpeGUnLg==,,W0t1cmR0XQpMYW1lbnRvIGxhIG1vbGVzdGlhLCBwZXJvIMK/Y3JlZXMgcXVlIHBvZHLDrWFzIHJlY29sZWN0YXIgbG8gcXVlIG5lY2VzaXRvIHBhcmEgaW50ZW50YXIgcmVjcmVhciBlbApFc3DDrXJpdHUgZGVsIHBlej8=
RHkuAg,,W0t1cmR0XQpIbW1tLi4uLgpGdW5kcyBhbmQKbWFucG93ZXIgYXJlCmltcG9ydGFudCBmb3IKcmVzZWFyY2ggdG8gcHJvZ3Jlc3Mu,,,,,W0t1cmR0XQpIbW1tLi4uLgpFc3R1ZGFyIGFsZ3VtYSBjb2lzYSBuw6NvIHJlcXVlciBhcGVuYXMKZnVuZG9zIGUgZm9yw6dhIGRlIHRyYWJhbGhvLCBtYXMgdGFtYsOpbSBwYWl4w6NvIGUgZW50dXNpYXNtby4=,,W0t1cmR0XQpNbW0uLi4KTG9zIGZvbmRvcyB5CmxhIG1hbm8gZGUgb2JyYSBzb24KaW1wb3J0YW50ZXMgcGFyYQplbCBwcm9ncmVzbyBkZSBsYSBpbnZlc3RpZ2FjacOzbi4=
RXkuAg,,W0t1cmR0XQpCdXQgbm8gYW1vdW50IG9mIGZpbmFuY2luZyBvciBzdGFmZmluZyBjYW4gcmVwbGFjZSB0aGUgdmFsdWUgb2YgZW50aHVzaWFzbSBhbmQgcGFzc2lvbiBpbiBjb25kdWN0aW5nIHJlc2VhcmNoLg==,,,,,W0t1cmR0XQpNYXMgbmVuaHVtYSBxdWFudGlkYWRlIGRlIGZpbmFuY2lhbWVudG8gb3UgZGUgcGVzc29hbCBwb2RlIHN1YnN0aXR1aXIgbyB2YWxvciBkbyBlbnR1c2lhc21vIGUgZGEgcGFpeMOjbyBuYSByZWFsaXphw6fDo28gZGUgcGVzcXVpc2FzLg==,,W0t1cmR0XQpQZXJvIG5pbmfDum4gZmluYW5jaWFtaWVudG8gbyBkb3RhY2nDs24gZGUgcGVyc29uYWwgcHVlZGUgc3VzdGl0dWlyIGVsIHZhbG9yIGRlbCBlbnR1c2lhc21vIHkgbGEgcGFzacOzbiBhIGxhIGhvcmEgZGUgaW52ZXN0aWdhci4=
RnkuAg,,W0t1cmR0XQpTb21lIGZpbmFuY2llcnMgYXJlIHNvIGlnbm9yYW50IHRoYXQgdGhleSB0aGluayB0aGF0IGlmIHRoZXkgdGhyb3cgbW9yZSBtb25leSBhbmQgcGVvcGxlIGludG8gYSBwcm9qZWN0LCB0aGUgc2VjcmV0cyBvZiBzY2llbmNlIHdpbGwgYmUgdW5sb2NrZWQgdGhhdCBtdWNoIGZhc3Rlci4=,,,,,W0t1cmR0XQpBbGd1bnMgZmluYW5jaWFkb3JlcyBzw6NvIHTDo28gaWdub3JhbnRlcyBxdWUgcGVuc2FtCnF1ZSBvcyBlc3R1ZG9zIGN1c3RhbSBhcGVuYXMgZGluaGVpcm8gZSBmb3LDp2EgZGUgdHJhYmFsaG8u,,W0t1cmR0XQpBbGd1bm9zIGZpbmFuY2llcm9zIHNvbiB0YW4gaWdub3JhbnRlcyBxdWUgY3JlZW4gcXVlIHNpIGludmllcnRlbiBtw6FzIGRpbmVybyB5IHBlcnNvbmFzIGVuIHVuIHByb3llY3RvLCBsb3Mgc2VjcmV0b3MgZGUgbGEgY2llbmNpYSBzZSBkZXN2ZWxhcsOhbiBtdWNobyBtw6FzIHLDoXBpZG8u
R3kuAg,,W0t1cmR0XQpCdXQgaWYgdGhlIHBlb3BsZSBkb2luZyB5b3VyIHJlc2VhcmNoIGFyZSB1bm1vdGl2YXRlZCBhbmQgdW5pbnNwaXJlZCwgeW91J2xsIG5ldmVyIGdldCBhbnl3aGVyZS4=,,,,,W0t1cmR0XQpFbnRyZXRhbnRvLCBtZXNtbyBxdWUgZWxlcyB0ZW5oYW0gZnVuZG9zIHBhcmEgaXNzbyBlIG11aXRhIG3Do28tZGUtb2JyYSwKbWFzIG7Do28gZMOjbyBtb3RpdmHDp8OjbyBhb3MgcGVzcXVpc2Fkb3JlcywKZW50w6NvIG9zIGVzdHVkb3MgbsOjbyBwb2RlcsOjbyBzZXIgYmVtLXN1Y2VkaWRvcy4=,,W0t1cmR0XQpQZXJvIHNpIHF1aWVuZXMgbGxldmFuIGFkZWxhbnRlIGxhIGludmVzdGlnYWNpw7NuIG5vIHRpZW5lbiBsYSBtb3RpdmFjacOzbiBuaSBsYSBpbnNwaXJhY2nDs24gbmVjZXNhcmlhcywgbnVuY2Egc2UgbGxlZ2Fyw6EgYSBuaW5ndW5hIHBhcnRlLg==
SHkuAg,,W1BhdmVsXQpeMzMzMzMzKlNuaWZmIHNuaWZmKi4uLgoqQWNob28hKl4wMDAwMDAgSHVoPwpXaG8gYXJlIHlvdT8=,,,,,W1BhdmVsXQoqc25pZmYgc25pZmYqLi4uCkF0Y2hpbSEKSMOjPwpRdWVtIMOpIHZvY8OqPwouLi4u,,W1BhdmVsXQpeMzMzMzMzKkluaGFsYSwgaW5oYWxhLi4uKgoqwqFBY2jDuiEqXjAwMDAwMCDCv0VoPwrCv1F1acOpbiBlcmVzPw==
SXkuAg,,W1BhdmVsXQpPaCwgc29ycnkuCllvdSBtdXN0IGJlIHRoZSBuZXcgYXNzaXN0YW4tLV4zMzMzMzMqQWFhY2hvbyFeMDAwMDAwIEVoaG0sIF4zMzMzMzMqU25pZmYgc25pZmYqXjAwMDAwMCBJJ20gc29ycnkuIEFzIHlvdSBjYW4gc2VlLCBJJ20gZmVlbGluZyBhIGxpdHRsZSBiaXQgdW5kZXIgdGhlIHdlYXRoZXIu,,,,,W1BhdmVsXQpBaCwgbWluaGFzIGRlc2N1bHBhcy4KVm9jw6ogZGV2ZSBzZXIgbyBub3ZvIGFzc2lzdGVudGUuLi4gQWFhdGNoaW0hCkhtbSBobW1tICpzbmlmZiBzbmlmZiouLi4gRGVzY3VscGUsIGV1IGVzdG91IGdyaXBhZG8uLi4KKnNuaWZmIHNuaWZmKi4uLgoqc25pZmYqLi4uaG1tbS4uLg==,,W1BhdmVsXQpBaCwgbG8gc2llbnRvLgpUw7ogZGViZXMgc2VyIGVsIG51ZXZvIGF5dWRhbnRlLi4uXjMzMzMzMyrCoUFhYWNow7ohXjAwMDAwMCBFbW0sIF4zMzMzMzMqSW5oYWxhLCBpbmhhbGEqXjAwMDAwMCBMbyBzaWVudG8uIENvbW8gcHVlZGVzIHZlciwgZXN0b3kgdW4gcG9jbyBlbmZlcm1vLg==
SnkuAg,,W1BhdmVsXQpJdCdzIGdvb2QgdG8ga25vdyB0aGF0IHlvdSdyZSBoZWxwIHRvIGhlbHAgbWUuIEJ1dCBeMzMzMzMzKkFjaG9vb28hIFNuaWZmIFNuaWZmKl4wMDAwMDA=,,,,,W1BhdmVsXQpIbW0uLi4uCsOJIGJvbSBzYWJlciBxdWUgdm9jw6ogZXN0w6EgYXF1aSBwcmEgbWUgYWp1ZGFyLi4uLgpFbnRyZXRhbnRvLi4uIEFhYWF0Y2hpbSEKKnNuaWZmIHNuaWZmKi4uLg==,,W1BhdmVsXQpFcyBidWVubyBzYWJlciBxdWUgZXN0w6FzIGFxdcOtIHBhcmEgYXl1ZGFybWUuIFBlcm8gXjMzMzMzMyrCoUFhYWFjaMO6ISBJbmhhbGEsIGluaGFsYSpeMDAwMDAw
S3kuAg,,W1BhdmVsXQpBbnl3YXksIGdvIGxvb2sgYXQgLS1eMzMzMzMzKkFhYWNob29vISpeMDAwMDAwIHRoYXQgXjMzMzMzMypBY2hvb29vISpeMDAwMDAwIHRoaW5nLi4uIF4zMzMzMzMqU25pZmYgc25pZmYqXjAwMDAwMA==,,,,,W1BhdmVsXQpIbW0uLi4gQWFhdGNoaW0hCkVuZmltLCB2w6Egb2xoYXIuLi5BYWFhdGNoaW0hIGFxdWVsYS4uLmFhYXRjaGltIQpjb2lzYS4uLipzbmlmZiBzbmlmZio=,,W1BhdmVsXQpEZSB0b2RhcyBmb3JtYXMsIHZlIGEgbWlyYXIuLi4gXjMzMzMzMyrCoUFhYWNow7ohKl4wMDAwMDAgZXNhIF4zMzMzMzMqwqFBYWFjaMO6ISpeMDAwMDAwIGNvc2EuLi4gXjMzMzMzMypJbmhhbGEsIGluaGFsYSpeMDAwMDAw
THkuAg,,W1BhdmVsXQpJIHRvbGQgeW91IHRvIGdvIGxvb2sgYXQtLSBeMzMzMzMzKkFhYWNoaG9vb28hKl4wMDAwMDAgdGhhdCBeMzMzMzMzKkFhYWNob29vbyEgQWNob28hIGdsaGsgZ2xoaypeMDAwMDAw,,,,,W1BhdmVsXQpFdSBsaGUgZGlzc2UgcGFyYSBpciBvbGhhciBBYWFhYXRjaGltISBBcXVpbG8uLi4uIGFhYXRjaGltISBBdGNoaW0hCipnbGhrIGdsaGsqLi4uCkhtbSBobW0uLg==,,W1BhdmVsXQpUZSBkaWplIHF1ZSBmdWVyYXMgYSBtaXJhci4uLiBeMzMzMzMzKsKhQWFhY2jDuiEqXjAwMDAwMCBlc2EgXjMzMzMzMyrCoUFhYWNow7ohKiDCoUFjaMO6ISBHbHVwLCBnbHVwKl4wMDAwMDA=
TXkuAg,,W1BhdmVsXQpeMzMzMzMzKkNvdWdoIGNvdWdoKgoqU25pZmYgc25pZmYuLi4qXjAwMDAwMApTbyBkaWQgeW91IHRha2UgYSBsb29rIGF0IGl0PyBZZWFoLCBJIGRvbid0IHRoaW5rIHlvdSdkIHVuZGVyc3RhbmQsIGV2ZW4gaWYgeW91IHNhdyBpdC4gXjMzMzMzMypnbGhrIGdsaGsqXjAwMDAwMA==,,,,,W1BhdmVsXQoqY29mIGNvZioKKnNuaWZmIHNuaWZmKi4uLgpFbnTDo28sIHZvY8OqIG9saG91IG8gcXVlIGxoZSBwZWRpPwrDiSwgZXUgbsOjbyBlc3BlcmF2YSBxdWUgZW50ZW5kZXJpYSwgbWVzbW8gc2Ugdm9jw6ogdGl2ZXNzZSB2aXN0by4KKmdsaGsgZ2xoayouLi4=,,W1BhdmVsXQpeMzMzMzMzKkNvZiwgY29mKgoqSW5oYWxhLCBpbmhhbGEuLi4qXjAwMDAwMArCv1lhIGxlIGVjaGFzdGUgdW4gdmlzdGF6bz8gU8OtLCBjcmVvIHF1ZSBubyBsbyBlbnRlbmRlcsOtYXMgYXVucXVlIGxvIHZpZXJhcy4gXjMzMzMzMypHbHVwLCBnbHVwKl4wMDAwMDA=
TnkuAg,,W1BhdmVsXQpeMzMzMzMzKkFBQUFBQ0hISE9PTyEqXjAwMDAwMApUaGF0IHNsYWIgb2Ygc3RvbmUsIG5vIHdhaXQsIF4zMzMzMzMqQWNob28hKl4wMDAwMDAgdGhlIGxldHRlcnMgZW5ncmF2ZWQgb24gdGhhdCB0aGluZyBhcmUgYW5jaWVuLS1eMzMzMzMzKkFjaG9vISpeMDAwMDAwIGxhbmd1YWdlIGlzIG5vIGxvbmdlciB1c2VkIG5vd2FkYXlzLg==,,,,,W1BhdmVsXQpBQUFBQUFBVENISU0hCkFxdWVsZSBwZWRhw6dvIGRlIHBlZHJhLi4uIG7Do28sIGVzcGVyZS4uLi4gYWFhdGNoaW0hCkFzIGxldHJhcyBlbnRhbGhhZGFzIG5hcXVlbGEgY29pc2EgaW5kZXNjcml0w612ZWwKc8OjbyBtdWl0byBhbnRpZ2FzLi4uLiBhYWF0Y2hpbSEgLi4udW1hIGxpbmd1YWdlbSBxdWUgbsOjbyDDqS4uLi4gYWFhdGNoaW0hCm1haXMgdXNhZGEgaG9qZSBlbSBkaWEu,,W1BhdmVsXQpeMzMzMzMzKsKhQUFBQUFDSMOaISpeMDAwMDAwCkVzYSBsYWphIGRlIHBpZWRyYSwgbm8gZXNwZXJhLCBeMzMzMzMzKsKhQWNow7ohKl4wMDAwMDAgbGFzIGxldHJhcyBxdWUgdGllbmUgZ3JhYmFkYXMgc29uIHVuIGFudGlnLi4uXjMzMzMzMyrCoUFjaMO6ISpeMDAwMDAwIGxlbmd1YWplIHF1ZSB5YSBubyBzZSB1dGlsaXphIGhveSBlbiBkw61hLg==
T3kuAg,,W1BhdmVsXQpJIGNhbid0IF4zMzMzMzMqZ2xoayBnbGhrKl4wMDAwMDAgdGVsbCB3aGF0IGFuY2llbnQgbGFuZ3VhZy0tIF4zMzMzMzMqQWNob28hKl4wMDAwMDAgaXQgaXMsIHNvLi4uIEhtbS4uLg==,,,,,W1BhdmVsXQpFdSBuw6NvIHBvc3NvIC4uLipnbGhrIGdsaGsqIGRpemVyIHF1ZSBsw61uZ3VhCmFudGlnYS4uLiBhYWF0Y2hpbSEgw6kgYXF1ZWxhLi4uIGFhYXRjaGltIQpFbnTDo28uLi4gYmVtLi4uaG1tIGhtbSAqc25pZmYgc25pZmYq,,W1BhdmVsXQpObyBwdWVkbyBeMzMzMzMzKkdsdXAsIGdsdXAqXjAwMDAwMCBzYWJlciBxdcOpIGxlbmd1YWplIGFudGlndW8uLi4gXjMzMzMzMyrCoUFjaMO6ISpeMDAwMDAwIGVzLCBhc8OtIHF1ZS4uLiBNbW0uLi4=
UHkuAg,,W1BhdmVsXQpDb25zaWRlcmluZyBeMzMzMzMzKkFjaG9vISBTbmlmZiBzbmlmZipeMDAwMDAwIHRoZSBtYXRlcmlhbCB1c2VkIGZvciB0aGUgc2xhYiBpc24ndCBeMzMzMzMzKlNuaWZmKl4wMDAwMDAgb3JkaW5hcnkgc3RvbmUsIHRoZXJlIG11c3QgYmUgc29tZSBraW5kIG9mIGRldmljZSBpbnN0YWxsZWQgaW4gaXQ/IF4zMzMzMzMqQ291Z2gqXjAwMDAwMA==,,,,,W1BhdmVsXQpDb25zaWRlcmFuZG8uLi4gYWFhdGNoaW0hICpzbmlmZiBzbmlmZiogbyBtYXRlcmlhbApBdGNoaW0hIEF0Y2hpbSEgVXNhZG8gbmEgcGVkcmEuLi4gKnNuaWZmIHNuaWZmKiwKaXNzbyBuw6NvIMOpIHVtIGF0Y2hpbSEgQXRjaGltISAqc25pZmYgc25pZmYqIHBlZGHDp28gZGUgcGVkcmEgcXVhbHF1ZXIuLi4KRXUgYWNoby4uLiBhYWFhdGNoaW0hISEhIERldmUgdGVyIGFsZ3VtIHRpcG8gZGUKbWVjYW5pc21vIGluc3RhbGFkbyBuZWxhICpzbmlmZiBzbmlmZiouLi4=,,W1BhdmVsXQpDb25zaWRlcmFuZG8gXjMzMzMzMyrCoUFjaMO6ISBJbmhhbGEsIGluaGFsYSpeMDAwMDAwIGVsIG1hdGVyaWFsIHV0aWxpemFkbyBwYXJhIGxhIGxhamEsIG5vIGVzIF4zMzMzMzMqSW5oYWxhKl4wMDAwMDAgdW5hIHBpZWRyYSBvcmRpbmFyaWEgeSBkZWJlIGhhYmVyIGFsZ8O6biB0aXBvIGRlIGRpc3Bvc2l0aXZvIGluc3RhbGFkbyBlbiBlbGxhLCDCv25vPyBeMzMzMzMzKkNvZipeMDAwMDAw
UXkuAg,,W1BhdmVsXQpOb3Qgb25seSB0aGF0IF4zMzMzMzMqU25pZmYgc25pZmYqIGxldHRlcnMgYXJlIG5vdCBqdXN0IGVuZ3JhdmVkLiBeMzMzMzMzKkFBQUFDSE9PISpeMDAwMDAwIFNvbWV0aGluZyBjb3ZlcnMgdGhlIF4zMzMzMzMqQ291Z2gqXjAwMDAwMCBzdXJmYWNlLg==,,,,,W1BhdmVsXQpBYWFhdGNoaW0hISAqc25pZmYgc25pZmYqIE7Do28gw6kgc8OzIGlzc28uLi4qc25pZmYgc25pZmYqCmFzIGxldHJhcyBuw6NvIGVzdMOjbyBhcGVuYXMgZW50YWxoYWRhcy4uLipzbmlmZiBzbmlmZiogQWF0Y2hpbSEhCm1hcyBhbGd1bWEgY29pc2EgQXRjaGltISEgY29icmUuLi5BdGNoaW0hCkFBQUFBVENISUlNISEgYSBzdXBlcmbDrWNpZS4uLiAqc25pZmYgc25pZmYq,,W1BhdmVsXQpObyBzb2xvIGVzby4gXjMzMzMzMypJbmhhbGEsIGluaGFsYSogTGFzIGxldHJhcyBubyBzb2xvIGVzdMOhbiBncmFiYWRhcy4gXjMzMzMzMyrCoUFBQUFDSMOaISpeMDAwMDAwIEFsZ28gY3VicmUgbGEgXjMzMzMzMypDb2YqXjAwMDAwMCBzdXBlcmZpY2llLg==
UnkuAg,,W1BhdmVsXQpJIG11c3QgXjMzMzMzMypDb3VnaCBjb3VnaCpeMDAwMDAwIHJlbW92ZSB0aGUgZGV2aWNlIGZvciBzbyB0aGF0IEkgY2FuIF4zMzMzMzMqQ291Z2ggY291Z2gqXjAwMDAwMCBpbnZlc3RpZ2F0ZSB0aGlzIGZ1cnRoZXIgXjMzMzMzMypTbmlmZipeMDAwMDAwIEJ1dGp1c3QgbG9vayBhdCBtZS4gSSdtIGEgd3JlY2suIEkgY2FuJ3QgZXZlbiBeMzMzMzMzKkFBQUFDSE9PISpeMDAwMDAwIC4uLnRhbGsu,,,,,W1BhdmVsXQpFdSBwcmVjaXNvICpjb2YgY29mKiByZXRpcmFyIGVzc2UgbWVjYW5pc21vIHBhcmEuLi4qY29mIGNvZioKcGVzcXVpc2FyIG1haXMgYSBmdW5kby4uLipjb2YgY29mKi4uLiBtYXMgb2xoZSBwYXJhIG1pbS4KRXUgbsOjbyBwb3NzbyBuZW0gZmFsYXIuLi4qZ2xoayBnbGhrKiBjbGFyYW1lbnRlLi4u,,W1BhdmVsXQpEZWJvIF4zMzMzMzMqQ29mKl4wMDAwMDAgcXVpdGFyIGVsIGRpc3Bvc2l0aXZvIHBhcmEgcG9kZXIgXjMzMzMzMypDb2YqXjAwMDAwMCBpbnZlc3RpZ2FyIG3DoXMgYSBmb25kby4gXjMzMzMzMypJbmhhbGEqXjAwMDAwMCBQZXJvIG3DrXJhbWUuIFNveSB1biBkZXNhc3RyZS4gTmkgc2lxdWllcmEgcHVlZG8uLi4gXjMzMzMzMyrCoUFBQUFDSMOaISpeMDAwMDAwIGhhYmxhci4=
U3kuAg,,W1BhdmVsXQpeMzMzMzMzKlNuaWZmIHNuaWZmKl4wMDAwMDAKU28gSSBob3BlIHlvdSBkb24ndCBtaW5kIF4zMzMzMzMqQWNob28hKl4wMDAwMDAgaGVscGluZyBtZSByZW1vdmUgXjMzMzMzMypDb3VnaCpeMDAwMDAwIHRoZSBkZXZpY2UuIFRoYW5rIHlvdSBzbyBtdWNoLiBeMzMzMzMzKlNuaWZmKl4wMDAwMDA=,,,,,W1BhdmVsXQpIbW0gKnNuaWZmIHNuaWZmKi4uLiBlbnTDo28gZXNwZXJvIHF1ZSB2b2PDqiBuw6NvCnNlIGltcG9ydGUgZGUgQWF0Y2hpbSEuLi4gbWUgYWp1ZGFyIGEgcmVtb3ZlciBBdGNoaW0hIS4uLiBvIGRpc3Bvc2l0aXZvLi4uCkF0Y2hpbSEgT2JyaWdhZG8uCkFBQUFBVENISUlJTSE=,,W1BhdmVsXQpeMzMzMzMzKkluaGFsYSwgaW5oYWxhKl4wMDAwMDAKQXPDrSBxdWUgZXNwZXJvIHF1ZSBubyB0ZSBpbXBvcnRlIF4zMzMzMzMqwqFBY2jDuiEqXjAwMDAwMCBheXVkYXJtZSBhIHF1aXRhciBeMzMzMzMzKkNvZipeMDAwMDAwIGVsIGRpc3Bvc2l0aXZvLiBNdWNoYXMgZ3JhY2lhcy4gXjMzMzMzMypJbmhhbGEqXjAwMDAwMA==
VHkuAg,,W1BhdmVsXQpeMzMzMzMzQWFhYWFjY2NjY2hoaGhvb29vLi4uISpeMDAwMDAwClVtLCB3aGF0IEkgbWVhbnQgdG8gc2F5IHctLV4zMzMzMzNBQUFBQ0hPT08hKl4wMDAwMDAKXjMzMzMzMypTbmlmZiBzbmlmZi4uLipeMDAwMDAw,,,,,W1BhdmVsXQpBYWFhLi4uLmFhYS4uLi4udGNoaWlpaW0hISEKKnNuaWZmIHNuaWZmKi4uLgpCZW0uLi4gbyBxdWUgZXUgcXVpcyBkaXplciBmb2kuLi4uIEFBQUFBVENISU0hLi4uCipzbmlmZiBzbmlmZiouLi4=,,W1BhdmVsXQpeMzMzMzMzwqFBYWFjaMO6Li4uISpeMDAwMDAwCkVtLCBsbyBxdWUgcXVpc2UgZGVjaXIgZnVlLi4uXjMzMzMzM8KhQUFBQUNIw5ohKl4wMDAwMDAKXjMzMzMzMypJbmhhbGEsIGluaGFsYS4uLipeMDAwMDAw
VXkuAg,,W1BhdmVsXQpeMzMzMzMzKkNvdWdoKl4wMDAwMDAKT2guLi4gXjMzMzMzMypTbmlmZipeMDAwMDAwCk5vdyBJIHNlZS4uLgpeMzMzMzMzKmdsaGsgZ2xoaypeMDAwMDAw,,,,,W1BhdmVsXQoqY29mKi4uLgouLi4uLi4hIQpPaC4uLkF0Y2hpbSEKQWdvcmEgZXUgZW50ZW5kbyEKKnNuaWZmIHNuaWZmKi4uLg==,,W1BhdmVsXQpeMzMzMzMzKkNvZipeMDAwMDAwCk9oLi4uIF4zMzMzMzMqSW5oYWxhKl4wMDAwMDAKWWEgdmVvLi4uCl4zMzMzMzMqR2x1cCwgZ2x1cCpeMDAwMDAw
